ABC69727__DQ335247.1,DQ335247.1_Bovine parvovirus-1,365609,Bovine parvovirus-1,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 1;Bovine parvovirus,DQ335247.1,Ungulate bocaparvovirus 1,Bovine parvovirus,DQ335247.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 1;Bovine parvovirus,ABC69727,DQ335247.1
AFH96872__JQ692585.1,JQ692585.1_Feline bocavirus,1174530,Feline bocavirus,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 3,JQ692585.1,Carnivore bocaparvovirus 3,Carnivore bocaparvovirus 3,JQ692585.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 3,AFH96872,JQ692585.1
ADK34009__HM145750.1,HM145750.1_Bocavirus gorilla/GBoV1/2009,864686,Bocavirus gorilla/GBoV1/2009,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 1;Gorilla bocavirus,HM145750.1,Primate bocaparvovirus 1,Gorilla bocavirus,HM145750.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 1;Gorilla bocavirus,ADK34009,HM145750.1
AEM37606__JN420365.1,JN420365.1_California sea lion bocavirus 3,1073961,California sea lion bocavirus 3,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 2,JN420365.1,Pinniped bocaparvovirus 2,Pinniped bocaparvovirus 2,JN420365.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 2,AEM37606,JN420365.1
AEO37417__JF429834.1,JF429834.1_Porcine bocavirus 3,1084715,Porcine bocavirus 3,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5,JF429834.1,Ungulate bocaparvovirus 5,Ungulate bocaparvovirus 5,JF429834.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5,AEO37417,JF429834.1
AGZ93685__KF792837.1,KF792837.1_Feline bocaparvovirus 2,1417756,Feline bocaparvovirus 2,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 4,KF792837.1,Carnivore bocaparvovirus 4,Carnivore bocaparvovirus 4,KF792837.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 4,AGZ93685,KF792837.1
AEM37593__JN420361.1,JN420361.1_California sea lion bocavirus 1,1073959,California sea lion bocavirus 1,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 1,JN420361.1,Pinniped bocaparvovirus 1,Pinniped bocaparvovirus 1,JN420361.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 1,AEM37593,JN420361.1
AES86015__JN648103.1,JN648103.1_Canine bocavirus 1,1511885,Canine bocavirus 1,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 2,JN648103.1,Carnivore bocaparvovirus 2,Carnivore bocaparvovirus 2,JN648103.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 2,AES86015,JN648103.1
AAY45700__DQ000496.1,DQ000496.1_Primate bocaparvovirus 1,1511871,Primate bocaparvovirus 1,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus,DQ000496.1,undef,Bocaparvovirus,DQ000496.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus,AAY45700,DQ000496.1
ACH81927__EU918736.1,EU918736.1_Human bocavirus 3,638313,Human bocavirus 3,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 1,EU918736.1,Primate bocaparvovirus 1,Primate bocaparvovirus 1,EU918736.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 1,ACH81927,EU918736.1
AGF85783__KC580640.1,KC580640.1_Canine bocavirus 3,1295080,Canine bocavirus 3,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,KC580640.1,unclassified Bocaparvovirus,unclassified Bocaparvovirus,KC580640.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,AGF85783,KC580640.1
ACR15767__FJ973558.1,FJ973558.1_Human bocavirus 2a TU,1511880,Human bocavirus 2a TU,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2,FJ973558.1,Primate bocaparvovirus 2,Primate bocaparvovirus 2,FJ973558.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2,ACR15767,FJ973558.1
ACL31580__FJ214110.1,FJ214110.1_Canine minute virus,329639,Canine minute virus,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 1,FJ214110.1,Carnivore bocaparvovirus 1,Carnivore bocaparvovirus 1,FJ214110.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 1,ACL31580,FJ214110.1
CAA25689__X01457.1,X01457.1_H-1 parvovirus,10799,H-1 parvovirus,Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1,X01457.1,Rodent protoparvovirus 1,Rodent protoparvovirus 1,X01457.1_Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1,CAA25689,X01457.1
ACT09660__GQ200736.1,GQ200736.1_Chipmunk parvovirus,56820,Chipmunk parvovirus,Viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Rodent erythroparvovirus 1,GQ200736.1,Rodent erythroparvovirus 1,Rodent erythroparvovirus 1,GQ200736.1_Viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Rodent erythroparvovirus 1,ACT09660,GQ200736.1
ADI60252__HM053693.2,HM053693.2_Porcine bocavirus 1 pig/ZJD/China/2006,795694,Porcine bocavirus 1 pig/ZJD/China/2006,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 2;Porcine bocavirus 1,HM053693.2,Ungulate bocaparvovirus 2,Porcine bocavirus 1,HM053693.2_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 2;Porcine bocavirus 1,ADI60252,HM053693.2
ADI60252__HM053693.2,HM053693.2_Porcine bocavirus 1 pig/ZJD/China/2006,795694,Porcine bocavirus 1 pig/ZJD/China/2006,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 2;Porcine bocavirus 1,HM053693.2,Ungulate bocaparvovirus 2,Porcine bocavirus 1,HM053693.2_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 2;Porcine bocavirus 1,ADI60252,HM053693.2
ADD22705__GU214704.1,GU214704.1_Chicken parvovirus ABU-P1,717641,Chicken parvovirus ABU-P1,Viruses;Parvoviridae;Parvovirinae;Aveparvovirus;Galliform aveparvovirus 1,GU214704.1,Galliform aveparvovirus 1,Galliform aveparvovirus 1,GU214704.1_Viruses;Parvoviridae;Parvovirinae;Aveparvovirus;Galliform aveparvovirus 1,ADD22705,GU214704.1
AEX38011__JQ037753.1,JQ037753.1_Eidolon helvum (bat) parvovirus,1131483,Eidolon helvum (bat) parvovirus,Viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Chiropteran tetraparvovirus 1,JQ037753.1,Chiropteran tetraparvovirus 1,Chiropteran tetraparvovirus 1,JQ037753.1_Viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Chiropteran tetraparvovirus 1,AEX38011,JQ037753.1
AAA74973__U26342.1,U26342.1_Simian parvovirus,31598,Simian parvovirus,Viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 2,U26342.1,Primate erythroparvovirus 2,Primate erythroparvovirus 2,U26342.1_Viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 2,AAA74973,U26342.1
AAF61212__AF221122.1,AF221122.1_Rhesus macaque parvovirus,119756,Rhesus macaque parvovirus,Viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 3,AF221122.1,Primate erythroparvovirus 3,Primate erythroparvovirus 3,AF221122.1_Viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 3,AAF61212,AF221122.1
ADF32027__GU938300.1,GU938300.1_Parvovirus YX-2010/CHN,754189,Parvovirus YX-2010/CHN,Viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 3;Porcine Cnvirus,GU938300.1,Ungulate tetraparvovirus 3,Porcine Cnvirus,GU938300.1_Viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 3;Porcine Cnvirus,ADF32027,GU938300.1
AAF61213__AF221123.1,AF221123.1_Pig-tailed macaque parvovirus,119755,Pig-tailed macaque parvovirus,Viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 4,AF221123.1,Primate erythroparvovirus 4,Primate erythroparvovirus 4,AF221123.1_Viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 4,AAF61213,AF221123.1
AAL55416__AY064475.1,AY064475.1_Human parvovirus B19 - A6,182494,Human parvovirus B19 - A6,Viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1;Human parvovirus B19,AY064475.1,Primate erythroparvovirus 1,Human parvovirus B19,AY064475.1_Viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1;Human parvovirus B19,AAL55416,AY064475.1
AAC40694__AF036710.1,AF036710.1_Rat parvovirus 1,74581,Rat parvovirus 1,Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 2,AF036710.1,Rodent protoparvovirus 2,Rodent protoparvovirus 2,AF036710.1_Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 2,AAC40694,AF036710.1
ACD37375__EU659111.1,EU659111.1_Feline panleukopenia virus,10786,Feline panleukopenia virus,Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Carnivore protoparvovirus 1,EU659111.1,Carnivore protoparvovirus 1,Carnivore protoparvovirus 1,EU659111.1_Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Carnivore protoparvovirus 1,ACD37375,EU659111.1
AEX30511__JN831651.1,JN831651.1_Porcine bocavirus 5/JS677,1131622,Porcine bocavirus 5/JS677,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus;Porcine bocavirus 5,JN831651.1,unclassified Bocaparvovirus,Porcine bocavirus 5,JN831651.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus;Porcine bocavirus 5,AEX30511,JN831651.1
AAO32086__AY186198.1,AY186198.1_Avian adeno-associated virus ATCC VR-865,219704,Avian adeno-associated virus ATCC VR-865,Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Avian dependoparvovirus 1,AY186198.1,Avian dependoparvovirus 1,Avian dependoparvovirus 1,AY186198.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Avian dependoparvovirus 1,AAO32086,AY186198.1
ADM26648__HQ113143.1,HQ113143.1_Chimpanzee parv4,1511922,Chimpanzee parv4,Viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,HQ113143.1,Primate tetraparvovirus 1,Primate tetraparvovirus 1,HQ113143.1_Viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,ADM26648,HQ113143.1
AAC40229__U44978.1,U44978.1_Porcine parvovirus,10796,Porcine parvovirus,Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Ungulate protoparvovirus 1,U44978.1,Ungulate protoparvovirus 1,Ungulate protoparvovirus 1,U44978.1_Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Ungulate protoparvovirus 1,AAC40229,U44978.1
AEQ76796__JF504699.1,JF504699.1_Ovine hokovirus,1096142,Ovine hokovirus,Viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 4,JF504699.1,Ungulate tetraparvovirus 4,Ungulate tetraparvovirus 4,JF504699.1_Viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 4,AEQ76796,JF504699.1
ABY67682__EU200669.1,EU200669.1_Bovine hokovirus 1,494651,Bovine hokovirus 1,Viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 1,EU200669.1,Ungulate tetraparvovirus 1,Ungulate tetraparvovirus 1,EU200669.1_Viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 1,ABY67682,EU200669.1
