ProteinAccession_GenomeAcc,GenomeAcc_ScientificName,TaxonomyID,ScientificName,GenomeAccession,Lineage,Genus,URL
P27454__,_Aedes densonucleosis virus (STRAIN GKV 002 002),10808,Aedes densonucleosis virus (STRAIN GKV 002 002),,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Brevidensovirus;Dipteran brevidensovirus 1;Aedes aegypti densovirus,Brevidensovirus,http://www.ncbi.nlm.nih.gov/nuccore/
Q90185__,_Aedes albopictus densovirus Boublik/1994,648330,Aedes albopictus densovirus Boublik/1994,,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Brevidensovirus;Dipteran brevidensovirus 1;Aedes albopictus densovirus,Brevidensovirus,http://www.ncbi.nlm.nih.gov/nuccore/
AAN41665__AY148187.1,AY148187.1_Myzus persicae densovirus,210016,Myzus persicae densovirus,AY148187.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae,unclassified Densovirinae,http://www.ncbi.nlm.nih.gov/nuccore/AY148187.1
YP_164339__AY665654,AY665654_Dendrolimus punctatus densovirus,292208,Dendrolimus punctatus densovirus,AY665654,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 3,Iteradensovirus,http://www.ncbi.nlm.nih.gov/nuccore/AY665654
AAG10007__AF273215.1,AF273215.1_Penaeus stylirostris penstyldensovirus 1,1513225,Penaeus stylirostris penstyldensovirus 1,AF273215.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus;Decapod penstyldensovirus 1,Penstyldensovirus,http://www.ncbi.nlm.nih.gov/nuccore/AF273215.1
AGW23423__KF214742.1,KF214742.1_Decapod penstyldensovirus 1,1513224,Decapod penstyldensovirus 1,KF214742.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus,Penstyldensovirus,http://www.ncbi.nlm.nih.gov/nuccore/KF214742.1
ACV52075__GQ411199.1,GQ411199.1_Penaeus monodon penstyldensovirus 1,1513226,Penaeus monodon penstyldensovirus 1,GQ411199.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus;Decapod penstyldensovirus 1,Penstyldensovirus,http://www.ncbi.nlm.nih.gov/nuccore/GQ411199.1
YP_006589928__JX110122,JX110122_Papilio polyxenes densovirus,1221208,Papilio polyxenes densovirus,JX110122,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 4,Iteradensovirus,http://www.ncbi.nlm.nih.gov/nuccore/JX110122
NP_694838__AF375296,AF375296_Casphalia extranea densovirus,180586,Casphalia extranea densovirus,AF375296,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 2,Iteradensovirus,http://www.ncbi.nlm.nih.gov/nuccore/AF375296
YP_004678720__HQ613271,HQ613271_Helicoverpa armigera densovirus,1045778,Helicoverpa armigera densovirus,HQ613271,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 5,Iteradensovirus,http://www.ncbi.nlm.nih.gov/nuccore/HQ613271
