species,QCH41361__MK643151.1,QCE20585__MH340498.1,QBO56618__MK543949.1,YP_009552708__MF998085,QAY29280__MH614323.1,AZU96659__MK182384.1,Q90054__undef,O71153__undef,Q90185__undef,P27454__undef,AIU96359__KF907321.1,AYH52678__MH550148.1,AXQ04869__MH188047.1,AXQ04865__MH188046.1,AXQ04862__MH188045.1,AXQ04855__MH188043.1,AXQ04852__MH188042.1,YP_009362129__FJ040397,NP_542609__AY033435,AXL93742__MF673888.1,YP_009310053__KU727766,YP_009256211__KX165268,YP_009134732__KP410261,YP_009021036__KF963252,YP_008766862__KC991097,YP_008658568__KF275669,YP_007003823__JX645046,YP_006589928__JX110122,YP_006576512__JX020762,YP_004678720__HQ613271,YP_004222723__GU452720,YP_003572961__AF218266,YP_002887625__FJ810126,YP_002854229__FJ360744,YP_002308470__FJ410797,YP_002265406__EU233812,YP_271915__DQ002873,YP_227600__AX344110,YP_164339__AY665654,NP_958099__AY461507,NP_899650__L32896,NP_874381__AY189948,NP_694838__AF375296,NP_694843__AY032882,NP_694834__AB042597,NP_051020__AF192260,AWV66983__MG693113.1,AWV66980__MG693112.1,AWV66978__MG693111.1,AWV66976__MG693110.1,AWV66973__MG693109.1,AWS20449__MF083940.1,P05840__undef,AWA28230__MG963176.1,AVM80379__MF094135.1,AOS51057__KT962050.1,ARI46485__KY548841.1,ARI46481__KY548840.1,ASU47551__KX774632.1,ASM93489__KY214444.1,ARV85915__KX145610.1,ARV85890__KX145609.1,ARV85889__KX145609.1,ARV85888__KX145609.1,ARV85887__KX145609.1,ARV85886__KX145609.1,AIQ82699__KM052275.1,AQN78650__KX648536.1,AQN78648__KX648535.1,APA19411__KX603698.1,ANG55949__KX035107.1,AAR11281__AY355306.1,ANN89695__KU373072.1,AND61496__KU215794.1,AAM28234__AY102034.1,ALS03998__KT316253.1,ALS03995__KT316252.1,ALS03992__KT316251.1,ALS03989__KT316250.1,ALS03986__KT316249.1,ALS03967__KT316259.1,ALS03963__KT316257.1,ALS03957__KT316255.1,ALS03954__KT316254.1,ALS03905__KT316245.1,ALS03902__KT316244.1,ALL74042__KT239104.1,ALK24441__KR492913.1,ALK24438__KR492912.1,ALK24429__KR492909.1,ALE60551__KP733862.1,ALE60548__KP733861.1,ALE60546__KP733860.1,ALE60543__KP733859.1,ALE60540__KP733858.1,ALE60537__KP733857.1,AKE98354__KM272863.1,AJD76763__KM593913.1,AJI02597__KM975734.1,AIT71975__KM576800.1,AIY34702__KM485614.1,AIJ28503__KJ830753.1,AIJ19291__KJ862253.1,ADB12609__GQ475529.1,AAM93906__AY124937.1,AAG10007__AF273215.1,AGW23423__KF214742.1,AGO32215__KF015280.1,AGO32210__KF015279.1,AGO32205__KF015278.1,AGO32190__KF015275.1,AFK91980__JQ894784.1,AFH02761__JN857346.1,AFC75858__JQ320376.1,AEV46269__JN377975.1,AFA36168__JN616415.1,ADK63426__GU371276.1,AAR15382__AY362548.1,AAR15379__AY362547.1,AAR11285__AY355307.1,ABU95011__EF579771.1,ABU94996__EF579766.1,ABU94990__EF579764.1,ABU94987__EF579763.1,ABU94984__EF579762.1,ABU94966__EF579756.1,ABR23509__EF633688.1,AAM28943__AY095351.2,ACS70953__FJ805445.1,AAP78907__AY310877.1,AAN41665__AY148187.1,AAT35223__AY605055.1,ACG50803__EU851411.1,ACV52075__GQ411199.1
QCH41361__MK643151.1,0.000000,0.835206,0.808471,0.799020,0.859770,0.865719,0.798165,0.801835,0.878357,0.868878,0.872038,0.883096,0.867955,0.867299,0.868878,0.850117,0.868878,0.832543,0.840442,0.867299,0.780488,0.834123,0.799655,0.846761,0.824275,0.852525,0.801444,0.842022,0.849921,0.843602,0.868878,0.870458,0.812044,0.867299,0.896014,0.867299,0.886010,0.857639,0.816746,0.798165,0.795956,0.784906,0.849921,0.843310,0.840442,0.793680,0.858079,0.794393,0.876777,0.876777,0.871336,0.817600,0.898901,0.843602,0.879937,0.875197,0.826758,0.797491,0.839041,0.808421,0.857639,0.856240,0.857820,0.857820,0.846678,0.842478,0.803540,0.627178,0.809524,0.870458,0.781690,0.875197,0.870458,0.884259,0.873618,0.873618,0.870458,0.872038,0.868878,0.870458,0.872038,0.875197,0.872038,0.870458,0.897924,0.896194,0.846761,0.901384,0.897924,0.896194,0.870458,0.870458,0.870458,0.870458,0.875197,0.873618,0.870458,0.897216,0.875197,0.845182,0.881905,0.870458,0.870458,0.870458,0.875197,0.870458,0.875197,0.857639,0.857639,0.857639,0.857639,0.792661,0.758721,0.786116,0.870458,0.862471,0.899654,0.870458,0.872038,0.873618,0.867299,0.867299,0.865719,0.867299,0.867299,0.865719,0.870458,0.875197,0.867299,0.881517,0.843602,0.887836,0.830964,0.875197
QCE20585__MH340498.1,0.835206,0.000000,0.715356,0.795880,0.852874,0.867041,0.820225,0.825843,0.868914,0.891386,0.870787,0.867041,0.874532,0.867041,0.863296,0.833724,0.853933,0.823970,0.810861,0.867041,0.819887,0.780899,0.816479,0.816479,0.805243,0.840404,0.812734,0.805243,0.810861,0.822097,0.885768,0.870787,0.822097,0.855805,0.889513,0.861423,0.883895,0.838951,0.807116,0.825843,0.820225,0.809434,0.812734,0.825843,0.810861,0.808989,0.825328,0.772586,0.835206,0.835206,0.827715,0.803371,0.879121,0.816479,0.867041,0.870787,0.823970,0.803371,0.812734,0.671579,0.838951,0.844569,0.844569,0.838951,0.825843,0.825843,0.812734,0.838951,0.805243,0.859551,0.820225,0.895131,0.874532,0.898148,0.897004,0.865169,0.868914,0.870787,0.867041,0.872659,0.865169,0.872659,0.874532,0.895131,0.883895,0.887640,0.822097,0.883895,0.880150,0.880150,0.893258,0.893258,0.874532,0.870787,0.872659,0.872659,0.872659,0.901499,0.868914,0.816479,0.904762,0.895131,0.887640,0.867041,0.867041,0.870787,0.870787,0.838951,0.838951,0.838951,0.838951,0.827715,0.752907,0.797373,0.874532,0.895105,0.883895,0.874532,0.878277,0.872659,0.867041,0.867041,0.865169,0.865169,0.867041,0.867041,0.885768,0.859551,0.867041,0.859551,0.831461,0.868914,0.820225,0.893258
QBO56618__MK543949.1,0.808471,0.715356,0.000000,0.797422,0.878161,0.869245,0.801105,0.801105,0.872928,0.869245,0.893186,0.874770,0.880295,0.867403,0.867403,0.847775,0.872928,0.819521,0.782689,0.871087,0.793621,0.782689,0.793738,0.804788,0.826888,0.814141,0.804788,0.802947,0.801105,0.817680,0.872928,0.896869,0.817680,0.869245,0.883978,0.869245,0.887661,0.839779,0.819521,0.799263,0.810313,0.803774,0.812155,0.819521,0.784530,0.806691,0.831878,0.769470,0.861878,0.861878,0.869245,0.795580,0.898901,0.801105,0.878453,0.880295,0.801105,0.802947,0.799263,0.663158,0.837937,0.819521,0.819521,0.823204,0.817680,0.819521,0.802947,0.802947,0.797422,0.872928,0.797422,0.891344,0.896869,0.888889,0.878453,0.895028,0.895028,0.898711,0.895028,0.898711,0.874770,0.876611,0.891344,0.895028,0.883978,0.885820,0.823204,0.880295,0.883978,0.885820,0.895028,0.896869,0.896869,0.898711,0.878453,0.878453,0.898711,0.882227,0.872928,0.808471,0.897143,0.895028,0.896869,0.896869,0.887661,0.898711,0.900552,0.837937,0.837937,0.837937,0.837937,0.799263,0.790698,0.795497,0.893186,0.904429,0.885820,0.896869,0.900552,0.878453,0.869245,0.871087,0.869245,0.869245,0.869245,0.869245,0.893186,0.872928,0.867403,0.872928,0.825046,0.876611,0.819521,0.878453
YP_009552708__MF998085,0.799020,0.795880,0.797422,0.000000,0.147126,0.888889,0.781651,0.783486,0.890523,0.895425,0.892157,0.890523,0.898693,0.887255,0.885621,0.833724,0.867647,0.794118,0.820261,0.887255,0.791745,0.743464,0.787565,0.823529,0.813406,0.818182,0.785199,0.810458,0.805556,0.792484,0.888889,0.893791,0.781022,0.890523,0.897747,0.887255,0.910190,0.812500,0.792484,0.776147,0.772059,0.783019,0.821895,0.811620,0.820261,0.775093,0.818777,0.735202,0.846405,0.846405,0.841503,0.792484,0.896703,0.800654,0.890523,0.877451,0.806175,0.768817,0.808219,0.776842,0.812500,0.816993,0.823529,0.823529,0.814310,0.808850,0.773451,0.790941,0.776014,0.893791,0.794014,0.880719,0.893791,0.884259,0.875817,0.874183,0.874183,0.890523,0.888889,0.874183,0.892157,0.895425,0.893791,0.882353,0.910035,0.906574,0.818627,0.908304,0.901384,0.910035,0.879085,0.893791,0.875817,0.875817,0.892157,0.892157,0.892157,0.880086,0.874183,0.805556,0.891429,0.880719,0.895425,0.888889,0.898693,0.895425,0.895425,0.812500,0.812500,0.812500,0.814236,0.785321,0.750000,0.791745,0.880719,0.890443,0.911765,0.875817,0.890523,0.890523,0.888889,0.892157,0.890523,0.897059,0.888889,0.892157,0.893791,0.892157,0.888889,0.888889,0.820261,0.901961,0.792484,0.895425
QAY29280__MH614323.1,0.859770,0.852874,0.878161,0.147126,0.000000,0.882759,0.866667,0.864368,0.882759,0.885057,0.875862,0.882759,0.894253,0.885057,0.882759,0.871194,0.880460,0.829885,0.882759,0.894253,0.873563,0.804598,0.845977,0.868966,0.859770,0.871264,0.871264,0.871264,0.845977,0.845977,0.887356,0.875862,0.875862,0.889655,0.887356,0.894253,0.901149,0.866667,0.859770,0.862069,0.864368,0.857471,0.855172,0.843678,0.882759,0.839080,0.901149,0.890966,0.864368,0.864368,0.875862,0.832184,0.894253,0.855172,0.885057,0.880460,0.841379,0.848276,0.871264,0.859770,0.864368,0.839080,0.843678,0.839080,0.845977,0.848276,0.845977,0.855172,0.852874,0.885057,0.891954,0.875862,0.875862,0.898148,0.875862,0.875862,0.878161,0.875862,0.868966,0.873563,0.878161,0.880460,0.875862,0.875862,0.891954,0.898851,0.873563,0.889655,0.885057,0.889655,0.875862,0.875862,0.875862,0.875862,0.880460,0.880460,0.875862,0.889655,0.894253,0.855172,0.880460,0.875862,0.878161,0.868966,0.868966,0.880460,0.875862,0.864368,0.864368,0.864368,0.868966,0.866667,0.883721,0.871264,0.875862,0.897436,0.887356,0.875862,0.878161,0.880460,0.887356,0.887356,0.887356,0.887356,0.887356,0.887356,0.878161,0.885057,0.885057,0.882759,0.878161,0.885057,0.829885,0.887356
AZU96659__MK182384.1,0.865719,0.867041,0.869245,0.888889,0.882759,0.000000,0.884404,0.888073,0.236410,0.060683,0.813814,0.230380,0.173913,0.020228,0.018963,0.889930,0.048040,0.878873,0.896552,0.018072,0.879925,0.874816,0.892919,0.904255,0.885870,0.890909,0.891697,0.898684,0.887118,0.872945,0.056890,0.816817,0.863139,0.034134,0.887348,0.021492,0.891192,0.899306,0.901935,0.882569,0.884191,0.877358,0.893758,0.883803,0.895225,0.881041,0.860262,0.856698,0.894188,0.894030,0.874593,0.888000,0.883516,0.896414,0.448320,0.816265,0.876501,0.890681,0.876712,0.861053,0.897569,0.887701,0.905220,0.894591,0.887564,0.883186,0.884956,0.891986,0.871252,0.050569,0.873239,0.818318,0.818318,0.835648,0.815315,0.816817,0.816817,0.816817,0.816817,0.816817,0.833333,0.815315,0.819820,0.822823,0.878893,0.889273,0.901391,0.875433,0.875433,0.873702,0.813814,0.818318,0.819820,0.818318,0.813814,0.815315,0.816817,0.843683,0.164349,0.885333,0.822857,0.816817,0.816817,0.816817,0.821321,0.830729,0.816817,0.894097,0.901042,0.897569,0.897569,0.891743,0.837209,0.894934,0.816817,0.771562,0.877163,0.816817,0.816817,0.816817,0.011378,0.015171,0.026549,0.012642,0.011378,0.011378,0.816817,0.103666,0.013906,0.234177,0.886819,0.234177,0.878873,0.818318
Q90054__undef,0.798165,0.820225,0.801105,0.781651,0.866667,0.884404,0.000000,0.071560,0.882569,0.875229,0.880734,0.882569,0.880734,0.880734,0.886239,0.791569,0.884404,0.755963,0.790826,0.878899,0.727955,0.761468,0.721101,0.798165,0.779817,0.832323,0.023853,0.807339,0.803670,0.785321,0.878899,0.880734,0.517431,0.889908,0.899083,0.878899,0.891743,0.759633,0.788991,0.060550,0.075368,0.739623,0.805505,0.777982,0.790826,0.723048,0.836245,0.688474,0.855046,0.862385,0.816514,0.752294,0.885714,0.801835,0.869725,0.882569,0.759633,0.732110,0.811009,0.787368,0.759633,0.777982,0.777982,0.774312,0.776147,0.779817,0.732110,0.816514,0.655046,0.882569,0.792661,0.875229,0.880734,0.891204,0.880734,0.873394,0.873394,0.880734,0.875229,0.875229,0.880734,0.880734,0.884404,0.884404,0.897248,0.891743,0.754128,0.895413,0.895413,0.897248,0.878899,0.877064,0.875229,0.880734,0.882569,0.882569,0.880734,0.884368,0.893578,0.803670,0.897143,0.880734,0.875229,0.880734,0.873394,0.880734,0.878899,0.759633,0.759633,0.759633,0.759633,0.115596,0.590116,0.733583,0.878899,0.874126,0.895413,0.880734,0.880734,0.882569,0.884404,0.884404,0.884404,0.884404,0.884404,0.884404,0.882569,0.877064,0.884404,0.875229,0.757798,0.884404,0.754128,0.884404
O71153__undef,0.801835,0.825843,0.801105,0.783486,0.864368,0.888073,0.071560,0.000000,0.880734,0.889908,0.877064,0.880734,0.884404,0.889908,0.889908,0.796253,0.897248,0.763303,0.800000,0.889908,0.724203,0.763303,0.721101,0.803670,0.776147,0.830303,0.077064,0.809174,0.807339,0.790826,0.889908,0.877064,0.517431,0.899083,0.895413,0.888073,0.893578,0.765138,0.796330,0.075229,0.080882,0.739623,0.801835,0.785321,0.800000,0.719331,0.840611,0.685358,0.856881,0.856881,0.812844,0.757798,0.896703,0.816514,0.875229,0.871560,0.770642,0.735780,0.800000,0.783158,0.765138,0.783486,0.785321,0.785321,0.783486,0.783486,0.728440,0.823853,0.655046,0.886239,0.796330,0.875229,0.869725,0.879630,0.871560,0.871560,0.869725,0.869725,0.867890,0.869725,0.871560,0.871560,0.878899,0.873394,0.899083,0.888073,0.755963,0.895413,0.900917,0.902752,0.860550,0.877064,0.862385,0.860550,0.871560,0.871560,0.867890,0.880086,0.891743,0.809174,0.881905,0.877064,0.875229,0.869725,0.871560,0.864220,0.877064,0.765138,0.765138,0.765138,0.765138,0.121101,0.595930,0.729831,0.869725,0.874126,0.895413,0.875229,0.867890,0.871560,0.888073,0.888073,0.888073,0.888073,0.888073,0.888073,0.864220,0.880734,0.888073,0.878899,0.759633,0.880734,0.766972,0.869725
Q90185__undef,0.878357,0.868914,0.872928,0.890523,0.882759,0.236410,0.882569,0.880734,0.000000,0.238509,0.807808,0.012658,0.022544,0.236410,0.247205,0.892272,0.268323,0.874648,0.892573,0.185241,0.898687,0.879234,0.894646,0.885638,0.891304,0.886869,0.882671,0.890789,0.880478,0.895366,0.239752,0.810811,0.857664,0.248447,0.883882,0.240202,0.889465,0.888889,0.882581,0.878899,0.878676,0.883019,0.892430,0.897887,0.891247,0.892193,0.864629,0.856698,0.898659,0.898507,0.876221,0.881600,0.879121,0.891102,0.456072,0.813253,0.888508,0.894265,0.897260,0.871579,0.888889,0.898396,0.899725,0.880721,0.889267,0.895575,0.895575,0.890244,0.876543,0.218159,0.876761,0.812312,0.810811,0.835648,0.810811,0.809309,0.809309,0.810811,0.809309,0.809309,0.821615,0.809309,0.813814,0.812312,0.894464,0.889273,0.890704,0.892734,0.896194,0.882353,0.809309,0.812312,0.812312,0.812312,0.804805,0.804805,0.810811,0.841542,0.236410,0.878667,0.817143,0.810811,0.809309,0.812312,0.803303,0.820312,0.812312,0.888889,0.888889,0.888889,0.888889,0.888073,0.848837,0.896811,0.810811,0.757576,0.896194,0.810811,0.810811,0.810811,0.233881,0.235145,0.245259,0.235145,0.235145,0.231353,0.812312,0.229508,0.235145,0.036709,0.888252,0.022785,0.873239,0.806306
P27454__undef,0.868878,0.891386,0.869245,0.895425,0.885057,0.060683,0.875229,0.889908,0.238509,0.000000,0.816817,0.225316,0.169082,0.065740,0.065675,0.894614,0.089517,0.880282,0.889920,0.055723,0.893058,0.882180,0.889465,0.889628,0.885870,0.890909,0.889892,0.893421,0.883134,0.889387,0.010601,0.819820,0.864964,0.061249,0.889081,0.064475,0.886010,0.895833,0.890323,0.880734,0.880515,0.875472,0.884462,0.885563,0.889920,0.888476,0.855895,0.856698,0.903130,0.902985,0.876221,0.889600,0.885714,0.899070,0.440568,0.816265,0.873070,0.888889,0.898973,0.863158,0.895833,0.898396,0.891484,0.883495,0.877342,0.892035,0.900885,0.879791,0.869489,0.040353,0.873239,0.819820,0.821321,0.835648,0.815315,0.818318,0.818318,0.807808,0.818318,0.818318,0.822917,0.815315,0.822823,0.816817,0.878893,0.887543,0.885678,0.877163,0.880623,0.878893,0.816817,0.821321,0.821321,0.821321,0.807808,0.809309,0.819820,0.845824,0.175727,0.885333,0.826667,0.819820,0.818318,0.816817,0.813814,0.825521,0.819820,0.895833,0.895833,0.895833,0.894097,0.889908,0.857558,0.889306,0.819820,0.771562,0.878893,0.819820,0.818318,0.810811,0.056890,0.060683,0.068268,0.059418,0.058154,0.056890,0.819820,0.099622,0.059418,0.226582,0.883954,0.227848,0.878873,0.819820
