QBN85151__MH509440.2,MH509440.2_Phocid alphaherpesvirus 1,47418,Phocid alphaherpesvirus 1,Viruses;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus,MH509440.2,undef,Varicellovirus,MH509440.2_Viruses;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus,QBN85151,MH509440.2
QBM05833__MH144223.1,MH144223.1_Human gammaherpesvirus 4,10376,Human gammaherpesvirus 4,Viruses;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus,MH144223.1,undef,Lymphocryptovirus,MH144223.1_Viruses;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus,QBM05833,MH144223.1
QBH84270__undef,undef_Human alphaherpesvirus 2,10310,Human alphaherpesvirus 2,Viruses;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus,undef,undef,Simplexvirus,undef_Viruses;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus,QBH84270,undef
YP_009552476__MF385016,MF385016_Eptesicus fuscus gammaherpesvirus,2035399,Eptesicus fuscus gammaherpesvirus,Viruses;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae,MF385016,undef,unclassified Gammaherpesvirinae,MF385016_Viruses;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae,YP_009552476,MF385016
YP_009551819__LC333428,LC333428_Rhinolophus gammaherpesvirus 1,2054179,Rhinolophus gammaherpesvirus 1,Viruses;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae,LC333428,undef,unclassified Gammaherpesvirinae,LC333428_Viruses;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae,YP_009551819,LC333428
QAX88067__MK143395.1,MK143395.1_Human gammaherpesvirus 8,37296,Human gammaherpesvirus 8,Viruses;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus,MK143395.1,undef,Rhadinovirus,MK143395.1_Viruses;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus,QAX88067,MK143395.1
AXF42693__MF898328.1,MF898328.1_Human alphaherpesvirus 3,10335,Human alphaherpesvirus 3,Viruses;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus,MF898328.1,undef,Varicellovirus,MF898328.1_Viruses;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus,AXF42693,MF898328.1
QAA96211__MH937566.1,MH937566.1_Gallid alphaherpesvirus 1,10386,Gallid alphaherpesvirus 1,Viruses;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Iltovirus,MH937566.1,undef,Iltovirus,MH937566.1_Viruses;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Iltovirus,QAA96211,MH937566.1
Q9QJ32__undef,undef_Human herpesvirus 6 strain Z29,36351,Human herpesvirus 6 strain Z29,Viruses;Herpesvirales;Herpesviridae;Betaherpesvirinae;Roseolovirus;Human betaherpesvirus 6B,undef,Human betaherpesvirus 6B,Human betaherpesvirus 6B,undef_Viruses;Herpesvirales;Herpesviridae;Betaherpesvirinae;Roseolovirus;Human betaherpesvirus 6B,Q9QJ32,undef
Q9E6N9__undef,undef_Marek's disease herpesvirus type 1 strain MD5,10389,Marek's disease herpesvirus type 1 strain MD5,Viruses;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus;Gallid alphaherpesvirus 2,undef,Gallid alphaherpesvirus 2,Gallid alphaherpesvirus 2,undef_Viruses;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus;Gallid alphaherpesvirus 2,Q9E6N9,undef
Q6UDK1__undef,undef_Psittacid herpesvirus 1 Amazon parrot/1997,670426,Psittacid herpesvirus 1 Amazon parrot/1997,Viruses;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Iltovirus;Psittacid alphaherpesvirus 1,undef,Psittacid alphaherpesvirus 1,Psittacid alphaherpesvirus 1,undef_Viruses;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Iltovirus;Psittacid alphaherpesvirus 1,Q6UDK1,undef
O36363__undef,undef_Alcelaphine herpesvirus 1 strain C500,654901,Alcelaphine herpesvirus 1 strain C500,Viruses;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Macavirus;Alcelaphine gammaherpesvirus 1,undef,Alcelaphine gammaherpesvirus 1,Alcelaphine gammaherpesvirus 1,undef_Viruses;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Macavirus;Alcelaphine gammaherpesvirus 1,O36363,undef
