ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences	mPTPClusterID
AOL02446__KX583629.1	KX583629.1_Adeno-associated virus	272636	Adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	KX583629.1	Dependoparvovirus	unclassified Dependoparvovirus	KX583629.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AOL02446	KX583629.1	AOL02446	AOL02446__KX583629.1_Species 26
APC23164__KT961659.1	KT961659.1_Simian erythroparvovirus 2	1920706	Simian erythroparvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;unclassified Erythrovirus	KT961659.1	Erythroparvovirus	unclassified Erythrovirus	KT961659.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;unclassified Erythrovirus	APC23164	KT961659.1	APC23164	APC23164__KT961659.1_Species 23
YP_009215301__KP729195	KP729195_Lagomorph bocaparvovirus 1	2169774	Lagomorph bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus	KP729195	Bocaparvovirus	Bocaparvovirus	KP729195_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus	YP_009215301	KP729195	YP_009215301,ALT04901	YP_009215301__KP729195_Species 9
YP_009229908__KT592508	KT592508_Bat bocavirus	1329649	Bat bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KT592508	Bocaparvovirus	unclassified Bocaparvovirus	KT592508_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009229908	KT592508	YP_009229908,AMD43872	YP_009229908__KT592508_Species 9
AII82250__KM017744.1	KM017744.1_Feline bocaparvovirus 3	2259807	Feline bocaparvovirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 5	KM017744.1	Bocaparvovirus	Carnivore bocaparvovirus 5	KM017744.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 5	AII82250	KM017744.1	AII82250	AII82250__KM017744.1_Species 9
AGF85783__KC580640.1	KC580640.1_Canine bocavirus 3	1295080	Canine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KC580640.1	Bocaparvovirus	unclassified Bocaparvovirus	KC580640.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGF85783	KC580640.1	AGF85783	AGF85783__KC580640.1_Species 9
AEX30511__JN831651.1	JN831651.1_Porcine bocavirus 5/JS677	1131622	Porcine bocavirus 5/JS677	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus;Porcine bocavirus 5	JN831651.1	Bocaparvovirus	Porcine bocavirus 5	JN831651.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus;Porcine bocavirus 5	AEX30511	JN831651.1	YP_005086948,AHK26996,AEX30511,AHK27191,AHK27190,AHK27189,AHK27188,AHK27183,AHK27174,AHK27167,AHK27166,AHK27161,AHK27149,AHK27130	AEX30511__JN831651.1_Species 8
AAR26464__AY388617.1	AY388617.1_Bovine adeno-associated virus	256548	Bovine adeno-associated virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B	AY388617.1	Dependoparvovirus	Adeno-associated dependoparvovirus B	AY388617.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B	AAR26464	AY388617.1	AJE25862,YP_024970,AAR26464	AAR26464__AY388617.1_Species 26
ADN44563__GQ869542.1	GQ869542.1_Porcine hokovirus	494652	Porcine hokovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2	GQ869542.1	Tetraparvovirus	Ungulate tetraparvovirus 2	GQ869542.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2	ADN44563	GQ869542.1	ADN44563,ADN44560	ADN44563__GQ869542.1_Species 6
ATV81497__MF682925.1	MF682925.1_Rousettus leschenaultii bocaparvovirus 1	2053082	Rousettus leschenaultii bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MF682925.1	Bocaparvovirus	unclassified Bocaparvovirus	MF682925.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ATV81497	MF682925.1	ATV81497	ATV81497__MF682925.1_Species 9
ADB20207__GQ387499.1	GQ387499.1_Porcine parvovirus 4	707546	Porcine parvovirus 4	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 2	GQ387499.1	Copiparvovirus	Ungulate copiparvovirus 2	GQ387499.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 2	ADB20207	GQ387499.1	AWO81964,ATE46007,YP_004013956,AFM73886,AFM73883,AFM73880,AFM73877,ADG65429,ADG65426,ADF59561,ADF59558,ADF59557,ADF59554,ADF59549,ADB20207,ADB20210	ADB20207__GQ387499.1_Species 28
AUO28605__KY511292.1	KY511292.1_Goose parvovirus	38251	Goose parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1	KY511292.1	Dependoparvovirus	Anseriform dependoparvovirus 1	KY511292.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1	AUO28605	KY511292.1	AUO28605,ATX74772,ATX74770,ATX74768,ATX74767,ATX74764,ATX74762,ATX74760,ARF02873,AQT18925,APG31773,APG31668,AOM63303,ANX99768,AMY56528,AMK92590,ALK02474,AEV89789,AWA45287,AAA75285,AQT18929,ABP93843	AUO28605__KY511292.1_Species 26
AQS80393__KX981980.1	KX981980.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KX981980.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KX981980.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	AQS80393	KX981980.1	AQS80393,AQS80387,AQS80384,AQS80378,AQS80372,AQS80369	AQS80393__KX981980.1_Species 21
AEQ76796__JF504699.1	JF504699.1_Ovine hokovirus	1096142	Ovine hokovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 4	JF504699.1	Tetraparvovirus	Ungulate tetraparvovirus 4	JF504699.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 4	AEQ76796	JF504699.1	AEQ76805,AEQ76802,AEQ76799,AEQ76796	AEQ76796__JF504699.1_Species 6
