ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences
AFK83885__JQ805139.1	JQ805139.1_Bat betaherpesvirus B7D8	1195167	Bat betaherpesvirus B7D8	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;unclassified Betaherpesvirinae	JQ805139.1	unclassified Betaherpesvirinae	unclassified Betaherpesvirinae	JQ805139.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;unclassified Betaherpesvirinae	AFK83885	JQ805139.1	AFK83885,BAI22795
AHA93360__HQ878327.2	HQ878327.2_Chelonid alphaherpesvirus 5	702736	Chelonid alphaherpesvirus 5	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Scutavirus	HQ878327.2	Scutavirus	Scutavirus	HQ878327.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Scutavirus	AHA93360	HQ878327.2	AHA93360,AAU84534,AAF63493,YP_009207091,AAC26681,AAU81566,AAU81565,AAU81564,AAU81563,AAU81562,AAU81561,AAU81560
AAP42117__AY197559.2	AY197559.2_Hexaprotodon liberiensis gammaherpesvirus 1	230458	Hexaprotodon liberiensis gammaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AY197559.2	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	AY197559.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AAP42117	AY197559.2	AAP42117
ADY05319__AY129398.2	AY129398.2_Pongo pygmaeus lymphocryptovirus 1	203134	Pongo pygmaeus lymphocryptovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus;unclassified Lymphocryptovirus;lymphocryptovirus 1	AY129398.2	Lymphocryptovirus	lymphocryptovirus 1	AY129398.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus;unclassified Lymphocryptovirus;lymphocryptovirus 1	ADY05319	AY129398.2	ADY05319
AAC58687__AF029302.1	AF029302.1_Rhesus monkey rhadinovirus H26-95	69256	Rhesus monkey rhadinovirus H26-95	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Macacine gammaherpesvirus 5	AF029302.1	Rhadinovirus	Macacine gammaherpesvirus 5	AF029302.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Macacine gammaherpesvirus 5	AAC58687	AF029302.1	AAC58687,NP_570750,AAF59986,AAD21336,AJE29648,AEW87709,AEW87539,AAS99991,AAF81664,ABU52895
BBA93953__LC268989.1	LC268989.1_Megabat gammaherpesvirus	1986399	Megabat gammaherpesvirus	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	LC268989.1	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	LC268989.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	BBA93953	LC268989.1	BBA93953,BBA93951
AAP42119__AY197561.2	AY197561.2_Tupaia belangeri gammaherpesvirus 1	230461	Tupaia belangeri gammaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AY197561.2	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	AY197561.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AAP42119	AY197561.2	AAP42119
ABV03816__EU118147.1	EU118147.1_Colobus guereza cytomegalovirus 1.2	467771	Colobus guereza cytomegalovirus 1.2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus;Colobus guereza cytomegalovirus 1	EU118147.1	Cytomegalovirus	Colobus guereza cytomegalovirus 1	EU118147.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus;Colobus guereza cytomegalovirus 1	ABV03816	EU118147.1	ABV03816,AAM89280
BBA93955__LC268990.1	LC268990.1_Megabat gammaherpesvirus	1986399	Megabat gammaherpesvirus	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	LC268990.1	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	LC268990.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	BBA93955	LC268990.1	BBA93955,BBA93949
Q9QJ32__undef	undef_Human herpesvirus 6 strain Z29	36351	Human herpesvirus 6 strain Z29	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Roseolovirus;Human betaherpesvirus 6B	undef	Roseolovirus	Human betaherpesvirus 6B	undef_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Roseolovirus;Human betaherpesvirus 6B	Q9QJ32	undef	Q9QJ32,P28857,NP_042931,APO38337,APO39176,APO39096,APO39016,APO38933,APO38847,APO38761,APO38679,APO38593,APO38507,APO38422,APO38252,APO38166,APO38080,APO37994,APO37908,APO37822,APO37736,APO37650,APO37564,APO37478,APO37392,APO37306,APO37220,APO37133,APO37049,APO36963,ARN62161,ARM65267,ARM65150,ARM65026,ARM64911,ARM64809,ARM64699,ARM64588,ARM64476,ARM64373,ARM64255,ARM64133,ARM63910,ARM63804,ARM63692,ARM63583,ARM63476,ARM63361,ARM63253,ARM63148,ARM62928,ARM62804,ARM62693,ARM62587,ARM62483,ARM62376,ARM62272,ARM62154,ARM62033,ARM61911,ARM61794,ARM61691,ARM61574,ARM61461,ARM61351,ARM61232,ARM61116,ARM60997,ARM60885,ARM60763,ARM60641,ARM60518,ARM60394,ARM60272,ARM60153,ARM60028,ARM59906,ARM59793,ARM59672,ARM59551,ARM10169,ARM10057,ARM09934,ARM09815,ARM09696,ARM09573,ARM09456,ARM09346,ARM09224,ARM09097,ARM08978,ARM08853,ARM08730,ARM08607,ARM08493,ARM08370,ARM08247,ARM08124,ARM08003,ARM07883,ARM07760,ARM07638,ARM07513,ARM07388,ARM07132,ARM07012,ARM06896,ARM06773,ARM06651,ARM06384,ARM06270,ARM06146,ARM06026,ARM05913,ARM05803,ARM05678,ARK07097,ARK03281,ARK03158,ARK03035,ARK02912,ARK02787,ARK02664,ARK02541,ARK02422,ARK02308,ARK02200,ARK02084,ARK01959,ARK01832,ARK01710,ARK01588,ARK01464,ARK01339,ARK01220,ARK01109,ARK00985,ARK00864,ARK00749,ARK00634,ARK00526,ARK00415,ARK00299,ARK00188,ARK00068,ARJ99952,ARJ99839,ARJ99728,ARJ99616,ARJ99507,ARJ99399,ARJ99286,ARJ99167,ARJ99056,ARJ98946,ARJ98837,BAF93477,BAF93476,CAA58372,AAA74631,AKZ18144,AJA36251,AIX09902,AHK06967,AGJ52018,NP_050219,AAD49652,BAA78259,T44185,AAW55996,ARM64019,ARM63039
