ALS03905__KT316245.1	KT316245.1_Decapod hepandensovirus 1	1513202	Decapod hepandensovirus 1	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Hepandensovirus	KT316245.1	Hepandensovirus	Hepandensovirus	KT316245.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Hepandensovirus	ALS03905	http://www.ncbi.nlm.nih.gov/nuccore/KT316245.1	https://www.ncbi.nlm.nih.gov/protein/ALS03905,ALK24444,ACB97669
AGO32190__KF015275.1	KF015275.1_Acheta domestica densovirus	185639	Acheta domestica densovirus	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Orthopteran ambidensovirus 1	KF015275.1	Ambidensovirus	Orthopteran ambidensovirus 1	KF015275.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Orthopteran ambidensovirus 1	AGO32190	http://www.ncbi.nlm.nih.gov/nuccore/KF015275.1	https://www.ncbi.nlm.nih.gov/protein/AGO32190
AGO32210__KF015279.1	KF015279.1_Acheta domestica densovirus	185639	Acheta domestica densovirus	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Orthopteran ambidensovirus 1	KF015279.1	Ambidensovirus	Orthopteran ambidensovirus 1	KF015279.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Orthopteran ambidensovirus 1	AGO32210	http://www.ncbi.nlm.nih.gov/nuccore/KF015279.1	https://www.ncbi.nlm.nih.gov/protein/AGO32210
ABR23509__EF633688.1	EF633688.1_Decapod penstyldensovirus 1	1513224	Decapod penstyldensovirus 1	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus	EF633688.1	Penstyldensovirus	Penstyldensovirus	EF633688.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus	ABR23509	http://www.ncbi.nlm.nih.gov/nuccore/EF633688.1	https://www.ncbi.nlm.nih.gov/protein/ABR23509
AGO32215__KF015280.1	KF015280.1_Acheta domestica densovirus	185639	Acheta domestica densovirus	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Orthopteran ambidensovirus 1	KF015280.1	Ambidensovirus	Orthopteran ambidensovirus 1	KF015280.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Orthopteran ambidensovirus 1	AGO32215	http://www.ncbi.nlm.nih.gov/nuccore/KF015280.1	https://www.ncbi.nlm.nih.gov/protein/AGO32215
ANG55949__KX035107.1	KX035107.1_Human CSF-associated densovirus	1850255	Human CSF-associated densovirus	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae	KX035107.1	unclassified Densovirinae	unclassified Densovirinae	KX035107.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae	ANG55949	http://www.ncbi.nlm.nih.gov/nuccore/KX035107.1	https://www.ncbi.nlm.nih.gov/protein/ANG55949,ANG55951
YP_002854229__FJ360744	FJ360744_Aedes aegypti densovirus 2	1513196	Aedes aegypti densovirus 2	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Brevidensovirus;Dipteran brevidensovirus 1;Aedes albopictus densovirus	FJ360744	Brevidensovirus	Aedes albopictus densovirus	FJ360744_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Brevidensovirus;Dipteran brevidensovirus 1;Aedes albopictus densovirus	YP_002854229	http://www.ncbi.nlm.nih.gov/nuccore/FJ360744	https://www.ncbi.nlm.nih.gov/protein/YP_002854229,ACJ09132
YP_009021036__KF963252	KF963252_Danaus plexippus plexippus iteravirus	1469956	Danaus plexippus plexippus iteravirus	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;unclassified Iteravirus	KF963252	Iteradensovirus	unclassified Iteravirus	KF963252_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;unclassified Iteravirus	YP_009021036	http://www.ncbi.nlm.nih.gov/nuccore/KF963252	https://www.ncbi.nlm.nih.gov/protein/YP_009021036,AHL24859
YP_164339__AY665654	AY665654_Dendrolimus punctatus densovirus	292208	Dendrolimus punctatus densovirus	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 3	AY665654	Iteradensovirus	Lepidopteran iteradensovirus 3	AY665654_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 3	YP_164339	http://www.ncbi.nlm.nih.gov/nuccore/AY665654	https://www.ncbi.nlm.nih.gov/protein/YP_164339,AAU12253,YP_164339
YP_009134732__KP410261	KP410261_Cherax quadricarinatus densovirus	1642018	Cherax quadricarinatus densovirus	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae	KP410261	unclassified Densovirinae	unclassified Densovirinae	KP410261_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae	YP_009134732	http://www.ncbi.nlm.nih.gov/nuccore/KP410261	https://www.ncbi.nlm.nih.gov/protein/YP_009134732,AKC42760
AIY34702__KM485614.1	KM485614.1_Penaeus stylirostris penstyldensovirus 1	1513225	Penaeus stylirostris penstyldensovirus 1	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus;Decapod penstyldensovirus 1	KM485614.1	Penstyldensovirus	Decapod penstyldensovirus 1	KM485614.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus;Decapod penstyldensovirus 1	AIY34702	http://www.ncbi.nlm.nih.gov/nuccore/KM485614.1	https://www.ncbi.nlm.nih.gov/protein/AIY34702,AIY34700
AGW23423__KF214742.1	KF214742.1_Decapod penstyldensovirus 1	1513224	Decapod penstyldensovirus 1	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus	KF214742.1	Penstyldensovirus	Penstyldensovirus	KF214742.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus	AGW23423	http://www.ncbi.nlm.nih.gov/nuccore/KF214742.1	https://www.ncbi.nlm.nih.gov/protein/AGW23423,AGW23423
	https://www.ncbi.nlm.nih.gov/protein/ALS03970	AAG10007	AAG10007
AIJ19291__KJ862253.1	KJ862253.1_Decapod penstyldensovirus 1	1513224	Decapod penstyldensovirus 1	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus	KJ862253.1	Penstyldensovirus	Penstyldensovirus	KJ862253.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus	AIJ19291	http://www.ncbi.nlm.nih.gov/nuccore/KJ862253.1	https://www.ncbi.nlm.nih.gov/protein/AIJ19291
NP_694843__AY032882	AY032882_Planococcus citri densovirus	159153	Planococcus citri densovirus	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Hemipteran ambidensovirus 1	AY032882	Ambidensovirus	Hemipteran ambidensovirus 1	AY032882_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Hemipteran ambidensovirus 1	NP_694843	http://www.ncbi.nlm.nih.gov/nuccore/AY032882	https://www.ncbi.nlm.nih.gov/protein/NP_694843,AAK54462,NP_694843
ALS03960__KT316256.1	KT316256.1_Decapod penstyldensovirus 1	1513224	Decapod penstyldensovirus 1	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus	KT316256.1	Penstyldensovirus	Penstyldensovirus	KT316256.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus	ALS03960	http://www.ncbi.nlm.nih.gov/nuccore/KT316256.1	https://www.ncbi.nlm.nih.gov/protein/ALS03960,AKE98351,YP_003572961,AAF59415,AIY34704
NP_899650__L32896	L32896_Galleria mellonella densovirus	37138	Galleria mellonella densovirus	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Lepidopteran ambidensovirus 1	L32896	Ambidensovirus	Lepidopteran ambidensovirus 1	L32896_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Lepidopteran ambidensovirus 1	NP_899650	http://www.ncbi.nlm.nih.gov/nuccore/L32896	https://www.ncbi.nlm.nih.gov/protein/NP_899650
AAK55488__AY033435.1	AY033435.1_Bombyx mori densovirus 1	46253	Bombyx mori densovirus 1	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 1;Bombyx mori densovirus	AY033435.1	Iteradensovirus	Bombyx mori densovirus	AY033435.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 1;Bombyx mori densovirus	AAK55488	http://www.ncbi.nlm.nih.gov/nuccore/AY033435.1	https://www.ncbi.nlm.nih.gov/protein/AAK55488
ALS03963__KT316257.1	KT316257.1_Decapod penstyldensovirus 1	1513224	Decapod penstyldensovirus 1	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus	KT316257.1	Penstyldensovirus	Penstyldensovirus	KT316257.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus	ALS03963	http://www.ncbi.nlm.nih.gov/nuccore/KT316257.1	https://www.ncbi.nlm.nih.gov/protein/ALS03963,AGK30043
AQN78648__KX648535.1	KX648535.1_Viltain virus	1955787	Viltain virus	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae	KX648535.1	unclassified Densovirinae	unclassified Densovirinae	KX648535.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae	AQN78648	http://www.ncbi.nlm.nih.gov/nuccore/KX648535.1	https://www.ncbi.nlm.nih.gov/protein/AQN78648
ABU94966__EF579756.1	EF579756.1_Culex pipiens pallens densovirus	465914	Culex pipiens pallens densovirus	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Brevidensovirus;Dipteran brevidensovirus 1;Aedes albopictus densovirus	EF579756.1	Brevidensovirus	Aedes albopictus densovirus	EF579756.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Brevidensovirus;Dipteran brevidensovirus 1;Aedes albopictus densovirus	ABU94966	http://www.ncbi.nlm.nih.gov/nuccore/EF579756.1	https://www.ncbi.nlm.nih.gov/protein/ABU94966
YP_004678720__HQ613271	HQ613271_Helicoverpa armigera densovirus	1045778	Helicoverpa armigera densovirus	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 5	HQ613271	Iteradensovirus	Lepidopteran iteradensovirus 5	HQ613271_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 5	YP_004678720	http://www.ncbi.nlm.nih.gov/nuccore/HQ613271	https://www.ncbi.nlm.nih.gov/protein/YP_004678720,AEI26263,YP_004678720
ALS03967__KT316259.1	KT316259.1_Decapod penstyldensovirus 1	1513224	Decapod penstyldensovirus 1	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus	KT316259.1	Penstyldensovirus	Penstyldensovirus	KT316259.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus	ALS03967	http://www.ncbi.nlm.nih.gov/nuccore/KT316259.1	https://www.ncbi.nlm.nih.gov/protein/ALS03967,AGO44085
ABU94984__EF579762.1	EF579762.1_Culex pipiens pallens densovirus	465914	Culex pipiens pallens densovirus	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Brevidensovirus;Dipteran brevidensovirus 1;Aedes albopictus densovirus	EF579762.1	Brevidensovirus	Aedes albopictus densovirus	EF579762.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Brevidensovirus;Dipteran brevidensovirus 1;Aedes albopictus densovirus	ABU94984	http://www.ncbi.nlm.nih.gov/nuccore/EF579762.1	https://www.ncbi.nlm.nih.gov/protein/ABU94984,ABU94978
YP_004222723__GU452720	GU452720_Mosquito densovirus BR/07	945962	Mosquito densovirus BR/07	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Brevidensovirus;unclassified Brevidensovirus	GU452720	Brevidensovirus	unclassified Brevidensovirus	GU452720_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Brevidensovirus;unclassified Brevidensovirus	YP_004222723	http://www.ncbi.nlm.nih.gov/nuccore/GU452720	https://www.ncbi.nlm.nih.gov/protein/YP_004222723,ADV74757
AIT71975__KM576800.1	KM576800.1_Hordeum marinum Itera-like densovirus	1561946	Hordeum marinum Itera-like densovirus	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;unclassified Iteravirus	KM576800.1	Iteradensovirus	unclassified Iteravirus	KM576800.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;unclassified Iteravirus	AIT71975	http://www.ncbi.nlm.nih.gov/nuccore/KM576800.1	https://www.ncbi.nlm.nih.gov/protein/AIT71975
ACG50803__EU851411.1	EU851411.1_Dysaphis plantaginea densovirus	551224	Dysaphis plantaginea densovirus	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae	EU851411.1	unclassified Densovirinae	unclassified Densovirinae	EU851411.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae	ACG50803	http://www.ncbi.nlm.nih.gov/nuccore/EU851411.1	https://www.ncbi.nlm.nih.gov/protein/ACG50803
ALS03986__KT316249.1	KT316249.1_Decapod penstyldensovirus 1	1513224	Decapod penstyldensovirus 1	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus	KT316249.1	Penstyldensovirus	Penstyldensovirus	KT316249.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus	ALS03986	http://www.ncbi.nlm.nih.gov/nuccore/KT316249.1	https://www.ncbi.nlm.nih.gov/protein/ALS03986,AKE98348,AIY51527
ABU94987__EF579763.1	EF579763.1_Culex pipiens pallens densovirus	465914	Culex pipiens pallens densovirus	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Brevidensovirus;Dipteran brevidensovirus 1;Aedes albopictus densovirus	EF579763.1	Brevidensovirus	Aedes albopictus densovirus	EF579763.1_Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Brevidensovirus;Dipteran brevidensovirus 1;Aedes albopictus densovirus	ABU94987	http://www.ncbi.nlm.nih.gov/nuccore/EF579763.1	https://www.ncbi.nlm.nih.gov/protein/ABU94987
