species,ANI26401,ANG65538,SBO07726,YP_009253942,YP_009252254,ANB43610,AKT72642,AIJ28621,NP_733857,NP_064160,AAF80111,AAF16520,AAC58687,AAB66388,AMO64740,AKZ18144,YP_009230161,YP_009229846,YP_009227263,AMB66138,AMB65994,AMB16939,AMB15810,ALX81095,YP_438136,AJT58581,AJG04899,ALB06101,ALB06099,YP_009176907,YP_009173887,ALF03278,YP_009179299,AJG42938,AGG16071,Q2HRD0,YP_009137478,AIL27699,YP_004936030,AKP92777,AKE44231,Q69025,Q6UDK1,O36363,P52367,P24907,BAP00709,YP_009118399,AIA82756,YP_073778,AJE29648,AJD79498,AIN81109,AIN81107,AIA09524,YP_009054933,AIQ80750,YP_009052018,YP_004940227,YP_009041990,YP_009044396,AHH02047,AHM96371,YP_009011017,AGY30688,AHA93360,YP_004940081,NP_047983,CCE57390,AFM85236,AFM85234,AFK85012,AFK85010,YP_004207849,YP_003933809,YP_003662494,YP_182359,YP_164473,NP_077443,NP_073324,NP_066862,AFK83885,ABH05845,AEW46233,AEM72555,AEI00235,AEA39187,ADY80543,AAM89282,AAM89279,ADY05325,ADY05323,ADY05321,ADY05320,ADY05319,ADY05318,ADY05317,ADY05314,ADY05311,AAM89278,ADK70918,AAN35123,ADM52140,BAI22795,AAM62282,ADE62355,ABN49965,ABN49966,ABN49957,ABO40787,ABO40783,ABO40780,ABO40775,AAG13396,AAD55134,ACX70157,AAO12315,AAK00812,AAT79466,BAH57334,AAP42119,AAP42117,ABI21851,AAS75147,AAO46908,AAO46905,AAD30142,AAO46907,ABI21852,ABU52901,ABU52899,AAC57976,ABV03816,ABV03812,ABV03810,AAN35124,ABH05847,ABH05841,ABH08758,ABH08757,AAW55994,AAW55992,CAB61753
ANI26401,0.000000,0.706404,0.717241,0.672925,0.725123,0.718227,0.651232,0.732020,0.266010,0.664039,0.691162,0.506972,0.499014,0.535961,0.689655,0.667984,0.702463,0.508000,0.734975,0.727094,0.725123,0.701478,0.717241,0.730049,0.510020,0.724138,0.734975,0.590164,0.555404,0.696552,0.551552,0.052217,0.673892,0.545090,0.666010,0.501976,0.650246,0.705419,0.696552,0.537736,0.641379,0.665025,0.713300,0.524138,0.473214,0.505451,0.724138,0.466995,0.507463,0.672261,0.506417,0.688670,0.663699,0.671273,0.722167,0.696552,0.715271,0.672906,0.648276,0.500502,0.518519,0.545946,0.722167,0.718227,0.499506,0.692611,0.652217,0.506442,0.650246,0.504960,0.500000,0.715271,0.632150,0.537931,0.721182,0.708374,0.742800,0.720197,0.730049,0.731034,0.713300,0.649261,0.518954,0.657143,0.671875,0.716256,0.514946,0.541444,0.665349,0.663989,0.066578,0.231283,0.243316,0.254351,0.144947,0.065246,0.066578,0.086551,0.195303,0.153538,0.665472,0.541555,0.719212,0.653846,0.556225,0.665803,0.546896,0.547619,0.573664,0.653997,0.651376,0.685393,0.714286,0.515605,0.722167,0.516600,0.516484,0.511443,0.730049,0.457831,0.523224,0.476190,0.525034,0.535443,0.516173,0.494681,0.564875,0.500673,0.524259,0.570323,0.510067,0.499506,0.672799,0.050599,0.528552,0.492021,0.540576,0.509138,0.534413,0.522148,0.562083,0.531915,0.448333
ANG65538,0.706404,0.000000,0.478838,0.740119,0.368109,0.589744,0.735266,0.439698,0.715551,0.756181,0.738828,0.711155,0.712032,0.730282,0.781743,0.738142,0.539496,0.694000,0.496266,0.527801,0.521992,0.372614,0.373444,0.483817,0.719439,0.472199,0.475519,0.715847,0.727770,0.546820,0.721722,0.707389,0.762915,0.703407,0.733524,0.710474,0.720192,0.488294,0.725169,0.729111,0.735632,0.739481,0.605920,0.722222,0.728175,0.708622,0.507054,0.717797,0.711443,0.745311,0.711747,0.572927,0.746785,0.744324,0.483817,0.361826,0.486307,0.744434,0.738281,0.705115,0.713714,0.737838,0.488797,0.480498,0.698914,0.609036,0.729990,0.723489,0.733151,0.722222,0.712425,0.732039,0.740631,0.701668,0.523651,0.493776,0.567031,0.526141,0.462457,0.473029,0.487395,0.717854,0.705882,0.738281,0.745192,0.474689,0.716033,0.721925,0.711462,0.720214,0.709720,0.728610,0.709893,0.726908,0.702128,0.700399,0.707057,0.695073,0.739184,0.706275,0.731183,0.734584,0.482988,0.704453,0.730924,0.744819,0.710700,0.738095,0.744459,0.730013,0.728702,0.748596,0.755411,0.705368,0.528631,0.733068,0.711289,0.713433,0.440664,0.672021,0.722678,0.707483,0.730717,0.751899,0.715633,0.720745,0.733945,0.726783,0.734501,0.740645,0.704698,0.695953,0.716163,0.699068,0.733068,0.730053,0.698953,0.729765,0.734143,0.736913,0.731642,0.700798,0.681667
SBO07726,0.717241,0.478838,0.000000,0.746047,0.489398,0.574176,0.736232,0.472362,0.726378,0.781756,0.749752,0.724104,0.703156,0.738072,0.778138,0.746047,0.349580,0.729000,0.405229,0.110931,0.141700,0.468033,0.469672,0.508197,0.733467,0.521457,0.549751,0.760929,0.756498,0.567138,0.735736,0.720197,0.751845,0.727455,0.734479,0.715415,0.729808,0.118729,0.732883,0.738544,0.745211,0.742167,0.549491,0.738791,0.717262,0.729435,0.271255,0.714848,0.734328,0.738401,0.704837,0.597712,0.739862,0.734452,0.233198,0.429156,0.535223,0.747338,0.723633,0.717151,0.733734,0.752703,0.234818,0.112551,0.687068,0.596003,0.729026,0.731417,0.740437,0.731151,0.732465,0.737864,0.737673,0.721295,0.347368,0.536032,0.578947,0.231648,0.537543,0.536929,0.574790,0.727105,0.690196,0.733398,0.724760,0.510322,0.725543,0.743316,0.739130,0.728246,0.737683,0.741979,0.747326,0.744311,0.731383,0.716378,0.731025,0.732357,0.744129,0.718291,0.733572,0.738606,0.095547,0.716599,0.737952,0.747409,0.750330,0.730159,0.736636,0.750983,0.756225,0.758427,0.751082,0.725343,0.327002,0.714475,0.704296,0.734328,0.506153,0.690763,0.740437,0.714286,0.730717,0.740506,0.750674,0.724734,0.727392,0.751009,0.729111,0.761290,0.719463,0.694965,0.734560,0.729694,0.721116,0.723404,0.698953,0.727154,0.742240,0.735570,0.727637,0.731383,0.678333
YP_009253942,0.672925,0.740119,0.746047,0.000000,0.743083,0.740119,0.584980,0.752964,0.676877,0.603755,0.515392,0.657371,0.677866,0.649209,0.634387,0.349802,0.745059,0.658000,0.749012,0.751976,0.759881,0.736166,0.742095,0.756917,0.677355,0.762846,0.747036,0.683060,0.704514,0.719368,0.687688,0.671937,0.662055,0.660321,0.649209,0.667984,0.578063,0.748024,0.577075,0.677898,0.639328,0.563241,0.731225,0.671937,0.682540,0.661051,0.741107,0.683794,0.660697,0.229249,0.677866,0.734190,0.217606,0.213439,0.760870,0.745059,0.756917,0.648221,0.565217,0.653962,0.665666,0.675676,0.753953,0.754941,0.668972,0.739130,0.565217,0.660059,0.586957,0.668651,0.642285,0.594862,0.432806,0.666008,0.750000,0.756917,0.769613,0.753953,0.746047,0.746047,0.751976,0.650198,0.678431,0.565217,0.671875,0.731225,0.667120,0.661765,0.624506,0.593039,0.687084,0.692513,0.676471,0.676037,0.684840,0.683089,0.677763,0.685752,0.709518,0.684913,0.659498,0.672922,0.753953,0.680162,0.675703,0.604922,0.645971,0.656085,0.668840,0.617300,0.614679,0.588483,0.729437,0.675406,0.752964,0.665339,0.664336,0.667662,0.739130,0.637216,0.663934,0.670748,0.663058,0.712658,0.665768,0.687500,0.692005,0.668910,0.688679,0.678710,0.681879,0.673913,0.630749,0.685752,0.683931,0.682181,0.680628,0.689295,0.674764,0.684564,0.658211,0.676862,0.641667
YP_009252254,0.725123,0.368109,0.489398,0.743083,0.000000,0.647436,0.735266,0.463104,0.697835,0.751066,0.729891,0.705179,0.720907,0.731256,0.767600,0.748024,0.524173,0.716000,0.488550,0.536047,0.492791,0.426633,0.425785,0.478372,0.719439,0.497031,0.553859,0.706284,0.735978,0.562721,0.709710,0.725123,0.770295,0.708417,0.730659,0.718379,0.720192,0.525021,0.729026,0.730458,0.727969,0.739481,0.623497,0.716374,0.714286,0.697721,0.514843,0.715831,0.716418,0.743337,0.719645,0.565300,0.751731,0.751234,0.538592,0.432570,0.542833,0.725073,0.744141,0.712136,0.722723,0.732432,0.525869,0.519932,0.693978,0.615986,0.741562,0.702676,0.738616,0.716270,0.699399,0.737864,0.747535,0.726202,0.543681,0.553011,0.639523,0.510602,0.463311,0.485157,0.505513,0.726179,0.709804,0.740234,0.713942,0.519084,0.718750,0.723262,0.722003,0.710843,0.748336,0.744652,0.729947,0.740295,0.743351,0.745672,0.748336,0.737683,0.747837,0.743658,0.707288,0.735925,0.521628,0.716599,0.727912,0.722798,0.745046,0.736772,0.743155,0.735256,0.745740,0.747191,0.760823,0.714107,0.538592,0.742364,0.710290,0.702488,0.443596,0.690763,0.721311,0.727891,0.732070,0.743038,0.714286,0.731383,0.735256,0.737550,0.721024,0.707097,0.722148,0.695953,0.725361,0.741678,0.738380,0.726064,0.708115,0.738903,0.731444,0.735570,0.723632,0.728723,0.681667
ANB43610,0.718227,0.589744,0.574176,0.740119,0.647436,0.000000,0.710145,0.643773,0.718504,0.728938,0.737835,0.720120,0.717949,0.717624,0.760073,0.730237,0.567766,0.709000,0.578755,0.601648,0.576007,0.651099,0.621795,0.624542,0.719439,0.597985,0.610806,0.722678,0.719562,0.575092,0.722723,0.719212,0.745387,0.711423,0.740210,0.718379,0.715385,0.569597,0.712633,0.718329,0.701149,0.732601,0.404255,0.725146,0.712302,0.717542,0.574176,0.715831,0.713433,0.737414,0.721619,0.578646,0.733927,0.739388,0.567766,0.645604,0.643773,0.742498,0.711914,0.718154,0.720721,0.737838,0.567766,0.573260,0.720632,0.606227,0.718419,0.711596,0.711538,0.729167,0.721443,0.725243,0.720907,0.723258,0.565018,0.641941,0.062562,0.650183,0.606227,0.632784,0.578755,0.703053,0.730719,0.711914,0.752404,0.601648,0.711957,0.740642,0.707510,0.724230,0.737683,0.728610,0.729947,0.720214,0.726064,0.732357,0.727031,0.732357,0.752781,0.734312,0.718041,0.734584,0.572344,0.693320,0.719880,0.703368,0.729194,0.739418,0.726206,0.707733,0.712975,0.714888,0.741342,0.709114,0.576007,0.722444,0.719281,0.710448,0.584249,0.681392,0.734973,0.726531,0.745602,0.727848,0.730458,0.728723,0.723460,0.725437,0.727763,0.750968,0.732886,0.720632,0.714849,0.729694,0.727756,0.726064,0.729058,0.715405,0.716599,0.744966,0.724967,0.734043,0.675000
AKT72642,0.651232,0.735266,0.736232,0.584980,0.735266,0.710145,0.000000,0.742995,0.666339,0.509179,0.583913,0.656375,0.676529,0.656280,0.437681,0.576087,0.724638,0.658000,0.746860,0.733333,0.737198,0.728502,0.734300,0.749758,0.639279,0.736232,0.728502,0.713115,0.759234,0.736232,0.695696,0.651232,0.628019,0.722445,0.628019,0.645257,0.191304,0.723671,0.165217,0.637466,0.474396,0.508213,0.718841,0.649123,0.671627,0.656095,0.722705,0.668633,0.717413,0.583416,0.656466,0.726570,0.582591,0.586377,0.736232,0.723671,0.725604,0.634076,0.360352,0.654965,0.638639,0.681081,0.733333,0.730435,0.639684,0.713043,0.351691,0.713578,0.480193,0.716270,0.714429,0.618447,0.562130,0.649657,0.732367,0.725604,0.738828,0.735266,0.738164,0.753623,0.766184,0.480193,0.692810,0.354492,0.651442,0.747826,0.675272,0.661765,0.208169,0.275770,0.668442,0.653743,0.671123,0.661312,0.658245,0.657790,0.668442,0.665779,0.710754,0.651535,0.639188,0.672922,0.730435,0.495951,0.717871,0.519430,0.661823,0.667989,0.677966,0.487549,0.487549,0.550562,0.636364,0.632959,0.729469,0.654714,0.658342,0.716418,0.739130,0.682731,0.669399,0.658503,0.690122,0.694937,0.675202,0.646277,0.689384,0.670256,0.676550,0.678710,0.661745,0.644620,0.182654,0.663116,0.666667,0.643617,0.689791,0.663185,0.653171,0.730201,0.675567,0.720745,0.681667
AIJ28621,0.732020,0.439698,0.472362,0.752964,0.463104,0.643773,0.742995,0.000000,0.713583,0.779199,0.730884,0.734064,0.732742,0.733204,0.825796,0.736166,0.521849,0.750000,0.493300,0.504188,0.511725,0.427973,0.442211,0.496650,0.726453,0.505863,0.469012,0.736339,0.781122,0.587456,0.760761,0.733005,0.767528,0.724449,0.759312,0.710474,0.733654,0.481575,0.740598,0.737197,0.740421,0.728738,0.610546,0.735867,0.715278,0.732408,0.512563,0.731563,0.745274,0.744324,0.732478,0.590086,0.743818,0.747285,0.525126,0.428811,0.458961,0.755082,0.742188,0.733200,0.731732,0.737838,0.533501,0.530151,0.726555,0.605560,0.741562,0.735382,0.744991,0.748016,0.742485,0.730097,0.733728,0.737978,0.539363,0.512563,0.652433,0.499162,0.372867,0.511725,0.548739,0.725254,0.708497,0.743164,0.768029,0.496650,0.732337,0.727273,0.725955,0.732262,0.753662,0.721925,0.752674,0.751004,0.726064,0.744341,0.747004,0.724368,0.761434,0.750334,0.728793,0.727882,0.523451,0.712551,0.741968,0.750000,0.721268,0.728836,0.722295,0.727392,0.745740,0.723315,0.765152,0.717853,0.493300,0.751660,0.726274,0.723383,0.484925,0.693440,0.718579,0.742857,0.755074,0.750633,0.730458,0.744681,0.737877,0.726783,0.753369,0.731613,0.738255,0.732478,0.738502,0.743009,0.751660,0.740691,0.710733,0.720627,0.744939,0.716779,0.755674,0.735372,0.698333
NP_733857,0.266010,0.715551,0.726378,0.676877,0.697835,0.718504,0.666339,0.713583,0.000000,0.714567,0.685204,0.524900,0.503945,0.553150,0.697835,0.673913,0.724409,0.529000,0.727362,0.716535,0.735236,0.715551,0.717520,0.718504,0.531062,0.726378,0.725394,0.583333,0.551300,0.691929,0.577578,0.266010,0.684055,0.566132,0.666339,0.520751,0.668307,0.717520,0.671260,0.524259,0.652559,0.666339,0.717520,0.550197,0.530754,0.530228,0.727362,0.506890,0.520398,0.684107,0.505429,0.699803,0.684471,0.684107,0.731299,0.715551,0.718504,0.674213,0.659449,0.525577,0.527528,0.539189,0.733268,0.726378,0.538993,0.696850,0.666339,0.532210,0.723425,0.526786,0.534068,0.728346,0.657791,0.559055,0.732283,0.719488,0.745780,0.732283,0.732283,0.716535,0.724409,0.667323,0.529412,0.669291,0.669471,0.718504,0.506793,0.517380,0.679842,0.668005,0.267643,0.195187,0.151070,0.234270,0.271277,0.262317,0.264980,0.259654,0.323857,0.287049,0.670251,0.542895,0.728346,0.679150,0.580321,0.674870,0.538970,0.554233,0.574967,0.657929,0.657929,0.682584,0.739177,0.515605,0.726378,0.525896,0.534466,0.523383,0.734252,0.483266,0.516393,0.502041,0.522327,0.548101,0.510782,0.513298,0.560944,0.524899,0.508086,0.570323,0.526174,0.539980,0.680683,0.258322,0.520584,0.510638,0.526178,0.515666,0.542510,0.542282,0.567423,0.531915,0.473333
NP_064160,0.664039,0.756181,0.781756,0.603755,0.751066,0.728938,0.509179,0.779199,0.714567,0.000000,0.673287,0.700199,0.681460,0.715677,0.671782,0.583004,0.777494,0.685000,0.766411,0.737425,0.756181,0.747656,0.748508,0.763001,0.676353,0.752771,0.759591,0.695355,0.738714,0.746466,0.714715,0.663054,0.730627,0.733467,0.710602,0.671937,0.527885,0.748508,0.517840,0.683288,0.370690,0.556849,0.728955,0.682261,0.692460,0.679881,0.751066,0.667650,0.668657,0.683119,0.685094,0.712107,0.674580,0.598223,0.751066,0.739983,0.737425,0.694095,0.509766,0.713139,0.674675,0.700000,0.744246,0.756181,0.709773,0.787142,0.514947,0.682854,0.417122,0.725198,0.677355,0.551456,0.569034,0.721295,0.746803,0.728900,0.743793,0.738278,0.761092,0.800512,0.770673,0.528215,0.690196,0.499023,0.683894,0.749361,0.726902,0.685829,0.555995,0.514056,0.693742,0.673797,0.685829,0.672021,0.687500,0.689747,0.691079,0.688415,0.718171,0.679573,0.659498,0.678284,0.755328,0.538462,0.722892,0.419689,0.734478,0.685185,0.702738,0.382700,0.373526,0.557584,0.597403,0.665418,0.735720,0.682603,0.677323,0.710448,0.751066,0.690763,0.703552,0.676190,0.707713,0.706329,0.684636,0.667553,0.750983,0.737550,0.704852,0.708387,0.714094,0.664363,0.570302,0.689747,0.695883,0.671543,0.692408,0.687990,0.747638,0.739597,0.686248,0.736702,0.640000
