id,clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
P27454,0	3	849	1	100	100%
P27454,0	3	849	0	100.00%	100%
M37899,0	3	792	0	100.00%	93%
YP_002854229,1	2	849	1	100	100%
ACJ09132,1	2	849	0	100.00%	100%
YP_004222723,2	2	849	1	100	100%
ADV74757,2	2	849	0	100.00%	100%
Q90185,3	4	805	1	100	100%
NP_694827,3	4	805	0	100.00%	100%
CAA52899,3	4	805	0	100.00%	100%
Q90185,3	4	805	0	100.00%	100%
ALL74042,4	1	796	1	100	100%
AAM28943,5	1	793	1	100	100%
AJI02597,6	1	791	1	100	100%
YP_002265406,7	2	791	1	100	100%
ABX83663,7	2	791	0	100.00%	100%
ABU95011,8	10	791	1	100	100%
ABU95008,8	10	791	0	100.00%	100%
ABU95005,8	10	791	0	100.00%	100%
ABU95002,8	10	791	0	100.00%	100%
ABU94999,8	10	791	0	100.00%	100%
ABU94993,8	10	791	0	100.00%	100%
ABU94981,8	10	791	0	100.00%	100%
ABU94975,8	10	791	0	100.00%	100%
ABU94972,8	10	791	0	100.00%	100%
ABU94969,8	10	791	0	100.00%	100%
ABU94996,9	1	791	1	100	100%
ABU94990,10	1	791	1	100	100%
ABU94987,11	1	791	1	100	100%
ABU94984,12	2	791	1	100	100%
ABU94978,12	2	791	0	100.00%	100%
ABU94966,13	1	791	1	100	100%
ACS70953,14	1	791	1	100	100%
AAP78907,15	1	790	1	100	100%
AAT35223,16	1	790	1	100	100%
YP_164339,17	3	775	1	100	100%
AAU12253,17	3	775	0	100.00%	100%
YP_164339,17	3	775	0	100.00%	100%
ALS03970,18	3	768	1	100	100%
AAG10007,18	3	768	0	100.00%	100%
AAG10007,18	3	768	0	100.00%	100%
ALS03967,19	2	768	1	100	100%
AGO44085,19	2	768	0	100.00%	100%
YP_006589928,20	3	760	1	100	100%
AFP74562,20	3	760	0	100.00%	100%
YP_006589928,20	3	760	0	100.00%	100%
NP_694834,21	2	754	1	100	100%
BAA96073,21	2	754	0	100.00%	100%
AAK55488,22	1	754	1	100	100%
NP_694838,23	3	753	1	100	100%
AAL56544,23	3	753	0	100.00%	100%
NP_694838,23	3	753	0	100.00%	100%
YP_006576512,24	2	753	1	100	100%
AFP33716,24	2	753	0	100.00%	100%
YP_009021036,25	2	752	1	100	100%
AHL24859,25	2	752	0	100.00%	100%
AIT71975,26	1	750	1	100	100%
ACI01073,27	1	710	1	100	100%
ACG50803,28	1	710	1	100	100%
NP_874376,29	3	698	1	100	100%
AAN41665,29	3	698	0	100.00%	100%
AAN41665,29	3	698	0	100.00%	100%
YP_004678720,30	3	669	1	100	100%
AEI26263,30	3	669	0	100.00%	100%
YP_004678720,30	3	669	0	100.00%	100%
AAM28234,31	1	666	1	100	100%
ALS03998,32	2	666	1	100	100%
AIY51515,32	2	666	0	100.00%	100%
ALS03995,33	2	666	1	100	100%
AIY51518,33	2	666	0	100.00%	100%
ALS03992,34	2	666	1	100	100%
AIY51521,34	2	666	0	100.00%	100%
ALS03989,35	2	666	1	100	100%
AIY51524,35	2	666	0	100.00%	100%
ALS03986,36	3	666	1	100	100%
AKE98348,36	3	666	0	100.00%	100%
AIY51527,36	3	666	0	100.00%	100%
ALS03963,37	2	666	1	100	100%
AGK30043,37	2	666	0	100.00%	100%
ALS03960,38	4	666	1	100	100%
AKE98351,38	4	666	0	100.00%	100%
YP_003572961,38	4	666	0	100.00%	100%
AAF59415,38	4	666	0	100.00%	100%
ALS03957,39	2	666	1	100	100%
AFR11649,39	2	666	0	100.00%	100%
ALS03954,40	2	666	1	100	100%
AFX58966,40	2	666	0	100.00%	100%
ALE60551,41	1	666	1	100	100%
ALE60548,42	1	666	1	100	100%
ALE60546,43	1	666	1	100	100%
ALE60543,44	1	666	1	100	100%
ALE60540,45	1	666	1	100	100%
ALE60537,46	2	666	1	100	100%
AKS11057,46	2	666	0	100.00%	100%
AKE98354,47	1	666	1	100	100%
AIJ28503,48	1	666	1	100	100%
AIJ19291,49	1	666	1	100	100%
ADB12609,50	1	666	1	100	100%
AAM93906,51	1	666	1	100	100%
AGW23423,52	2	666	1	100	100%
AGW23423,52	2	666	0	100.00%	100%
AEV46269,53	1	666	1	100	100%
AAR15382,54	1	666	1	100	100%
AAR15379,55	1	666	1	100	100%
AAR11288,56	2	666	1	100	100%
AAR11281,56	2	666	0	100.00%	100%
AAR11285,57	1	666	1	100	100%
ABR23509,58	1	666	1	100	100%
ACV52075,59	1	666	1	100	100%
ALK24435,60	5	579	1	100	100%
ALK24432,60	5	579	0	100.00%	100%
YP_271915,60	5	579	0	100.00%	100%
AAY84084,60	5	579	0	100.00%	100%
YP_271915,60	5	579	0	100.00%	100%
YP_009134732,61	2	579	1	100	100%
AKC42760,61	2	579	0	100.00%	100%
ALS03905,62	3	578	1	100	100%
ALK24444,62	3	578	0	100.00%	100%
ACB97669,62	3	578	0	100.00%	100%
ALS03902,63	2	578	1	100	100%
ABE73135,63	2	578	0	100.00%	100%
ALS03893,64	5	578	1	100	100%
ALS03890,64	5	578	0	100.00%	100%
ALK24425,64	5	578	0	100.00%	100%
YP_003799994,64	5	578	0	100.00%	100%
ADK63426,64	5	578	0	100.00%	100%
ALK24441,65	2	578	1	100	100%
ABY79076,65	2	578	0	100.00%	100%
ALK24438,66	2	578	1	100	100%
ABY60414,66	2	578	0	100.00%	100%
ALK24429,67	2	578	1	100	100%
AEQ64892,67	2	578	0	100.00%	100%
ALS03899,68	4	577	1	100	100%
ALS03896,68	4	577	0	100.00%	100%
YP_002308470,68	4	577	0	100.00%	100%
ACJ23370,68	4	577	0	100.00%	100%
YP_227600,69	3	576	1	100	100%
ADZ58504,69	3	576	0	100.00%	100%
YP_227600,69	3	576	0	100.00%	100%
AGO32215,70	1	576	1	100	100%
AGO32210,71	1	576	1	100	100%
AGO32205,72	4	576	1	100	100%
AGO32200,72	4	576	0	100.00%	100%
AGO32195,72	4	576	0	100.00%	100%
AGO32185,72	4	576	0	100.00%	100%
AGO32190,73	1	576	1	100	100%
NP_694843,74	3	568	1	100	100%
AAK54462,74	3	568	0	100.00%	100%
NP_694843,74	3	568	0	100.00%	100%
AIQ82699,75	1	565	1	100	100%
YP_007003823,76	3	554	1	100	100%
AFV91527,76	3	554	0	100.00%	100%
YP_007003823,76	3	554	0	100.00%	100%
YP_008766862,77	2	552	1	100	100%
AGZ03694,77	2	552	0	100.00%	100%
YP_002887625,78	3	548	1	100	100%
ACQ76570,78	3	548	0	100.00%	100%
YP_002887625,78	3	548	0	100.00%	100%
Q90054,79	4	545	1	100	100%
AGO32180,79	4	545	0	100.00%	100%
NP_694824,79	4	545	0	100.00%	100%
AAB23699,79	4	545	0	100.00%	100%
O71153,80	3	545	1	100	100%
NP_046813,80	3	545	0	100.00%	100%
AAC17999,80	3	545	0	100.00%	100%
NP_958099,81	2	545	1	100	100%
AAR30037,81	2	545	0	100.00%	100%
AFK91980,82	2	545	1	100	100%
