species,ALA40028,ANO39503,YP_009259490,ANM72090,YP_009256211,YP_009186840,YP_009241376,BAU88511,AGF85783,AAM93275,AAF61213,AAB95451,ADI60256,ADI60252,YP_009229908,AME15910,AME15905,YP_009227290,YP_009215301,ALR74754,Q90185,BAS32608,AKG54800,AIE58040,BAR72999,YP_009130650,YP_009154712,YP_009134732,AIF74198,AJI02597,YP_227600,NP_694834,NP_051020,AIT71975,P27454,AIZ50117,AID57413,AIY27459,AII82250,AIT18928,AIC77176,YP_002887625,AES86015,AEI99170,AEI99166,ADM26648,YP_002916059,ACR15778,ACR15767,ACJ38931,ACF94533,ABK00521,YP_271915,AAU88153,AAG10007,YP_004678720,YP_009010974,AHK26987,AHK26969,AHA86835,YP_008658568,YP_008766862,AGW95844,AGW23423,AGS15085,AGS15077,AGS15053,AGS15039,AGK45548,AGL09957,AGL09956,YP_007003823,AFV48069,AFK85003,YP_164339,NP_874381,NP_694838,NP_694843,YP_006589928,AFH96872,AFK91980,AFD01617,AFC75858,ABV71710,AAA66612,AEX38011,AEX30511,AEQ76796,AEP95278,AEO37421,AEO37417,AEM37643,AEM37606,AEM37593,ACT09660,ADP36995,AAL91012,AAD13755,ADN44566,ADD17085,ADF32027,ADK34009,AAR26464,AAR07954,AAC40229,AAA83224,AAA74973,AAC03775,ADB20207,ADD22705,ACD37375,ABY67706,ABY67682,AAO32086,AAN03856,AAN03854,AAL09673,AAL09671,AAD27758,AAA67108,AAY45700,AAN41665,AAL55416,AAT46336,AAF61212,AAC58044,AAA83229,AAA69566,AAA66866,ACI01073,ACH81927,ACL31580,ABI16638,ABC69727,ABB76814,CAA66227,CAA25689,AIQ82699,ACV52075,U34255,M81888,U34256,AAC40694
ALA40028,0.000000,0.865835,0.823713,0.840266,0.884555,0.820593,0.795632,0.831513,0.837754,0.829953,0.853354,0.831731,0.840874,0.842434,0.828393,0.157566,0.149766,0.842434,0.868955,0.806557,0.892356,0.812793,0.839314,0.851718,0.827697,0.813772,0.819469,0.887737,0.563923,0.882995,0.894097,0.897036,0.881041,0.904836,0.882995,0.829897,0.252730,0.842434,0.834633,0.801600,0.837795,0.886861,0.837754,0.839314,0.845669,0.854914,0.840874,0.839063,0.834375,0.835938,0.853354,0.851794,0.891192,0.848674,0.887676,0.904836,0.848674,0.842434,0.843994,0.859594,0.884848,0.885870,0.832013,0.886115,0.847114,0.853354,0.843994,0.843994,0.825273,0.831513,0.839314,0.891697,0.809672,0.826833,0.906396,0.875472,0.892356,0.873239,0.901716,0.842434,0.889908,0.864275,0.894934,0.878315,0.159322,0.850234,0.836193,0.851794,0.351181,0.845554,0.843994,0.836667,0.829953,0.840874,0.858034,0.833333,0.847114,0.840984,0.855346,0.835237,0.861154,0.840874,0.836066,0.827402,0.815913,0.850080,0.856474,0.835749,0.844482,0.848674,0.819033,0.858491,0.854914,0.850234,0.832000,0.842697,0.856474,0.836127,0.849117,0.826833,0.834116,0.900156,0.839314,0.842444,0.867395,0.841091,0.851675,0.825273,0.848674,0.912637,0.840874,0.839314,0.840580,0.843994,0.846890,0.201613,0.828393,0.883186,0.889236,0.840874,0.839314,0.829953,0.829953
ANO39503,0.865835,0.000000,0.814199,0.450915,0.894260,0.819876,0.844237,0.818731,0.820242,0.839879,0.790030,0.745192,0.844411,0.841390,0.821752,0.864275,0.867395,0.820242,0.812689,0.822951,0.910876,0.821752,0.821752,0.772152,0.818035,0.837246,0.759292,0.896373,0.856392,0.897281,0.899306,0.907855,0.901487,0.898792,0.906344,0.723368,0.861154,0.832326,0.818731,0.824000,0.840945,0.885036,0.839506,0.842900,0.840945,0.756798,0.815710,0.834375,0.829688,0.831250,0.756798,0.758308,0.903282,0.761329,0.903323,0.898792,0.836858,0.844411,0.814199,0.787009,0.890909,0.902174,0.816165,0.901813,0.833837,0.827795,0.815710,0.824773,0.841390,0.829305,0.832326,0.893502,0.836858,0.835347,0.901813,0.894340,0.907855,0.897887,0.898792,0.821752,0.899083,0.765861,0.883677,0.777946,0.867797,0.765861,0.823263,0.778963,0.872441,0.827795,0.820242,0.745000,0.824773,0.817221,0.787009,0.842767,0.806647,0.726230,0.770440,0.721044,0.744713,0.821752,0.729508,0.761566,0.826284,0.736842,0.773414,0.731079,0.463211,0.824773,0.850453,0.784591,0.757669,0.758308,0.732800,0.751204,0.791091,0.689013,0.728732,0.832326,0.834116,0.894260,0.808157,0.749196,0.811178,0.739968,0.754386,0.833837,0.809668,0.910876,0.835098,0.829305,0.727858,0.808157,0.733652,0.875806,0.835347,0.900885,0.898792,0.833837,0.838369,0.833837,0.845921
YP_009259490,0.823713,0.814199,0.000000,0.795341,0.895434,0.833851,0.831776,0.716437,0.681234,0.833333,0.824405,0.809295,0.691323,0.726885,0.676806,0.837754,0.823713,0.708443,0.683844,0.818033,0.901863,0.838039,0.698953,0.815552,0.837359,0.827856,0.801770,0.896373,0.837128,0.902655,0.885417,0.897878,0.881041,0.909333,0.905771,0.819588,0.834633,0.698651,0.711055,0.833600,0.834646,0.877737,0.666667,0.725462,0.680315,0.837104,0.679124,0.634375,0.629687,0.626563,0.834087,0.831071,0.891192,0.832579,0.890625,0.898356,0.689655,0.689655,0.750614,0.820359,0.876768,0.867754,0.779715,0.875375,0.712144,0.690476,0.726027,0.711699,0.826023,0.695381,0.690958,0.893502,0.834586,0.705556,0.899355,0.867925,0.904382,0.878521,0.907895,0.725124,0.871560,0.844880,0.868668,0.850679,0.816949,0.848266,0.698651,0.835366,0.833071,0.685157,0.685157,0.791667,0.711970,0.697352,0.798875,0.690252,0.798808,0.796721,0.844340,0.800979,0.836524,0.680348,0.793443,0.802491,0.836858,0.799043,0.820961,0.800322,0.802676,0.806916,0.838323,0.831761,0.834356,0.808157,0.798400,0.799358,0.807988,0.810056,0.800963,0.841886,0.636933,0.901146,0.798808,0.800643,0.837482,0.799358,0.792663,0.839112,0.801788,0.914085,0.649017,0.720930,0.805153,0.378063,0.799043,0.837097,0.830357,0.879646,0.884384,0.827381,0.827844,0.830357,0.834575
ANM72090,0.840266,0.450915,0.795341,0.000000,0.888519,0.811980,0.825291,0.820300,0.816972,0.818636,0.767055,0.762063,0.821963,0.826955,0.820300,0.848586,0.843594,0.810316,0.818636,0.816972,0.876872,0.820300,0.818636,0.759494,0.816972,0.811980,0.776991,0.884283,0.852890,0.870216,0.895833,0.903494,0.886617,0.903494,0.898502,0.726804,0.841930,0.816972,0.828619,0.815308,0.830283,0.905109,0.825291,0.820300,0.811980,0.777038,0.821963,0.831947,0.823627,0.820300,0.785358,0.780366,0.898100,0.783694,0.890183,0.896839,0.826955,0.831947,0.821963,0.777038,0.903030,0.889493,0.790349,0.883527,0.823627,0.823627,0.831947,0.821963,0.820300,0.820300,0.825291,0.907942,0.815308,0.811980,0.898502,0.886792,0.893511,0.892606,0.903494,0.813644,0.888073,0.777038,0.885553,0.792013,0.847458,0.790349,0.813644,0.785358,0.846922,0.828619,0.826955,0.760000,0.810316,0.803661,0.782030,0.820300,0.805324,0.725458,0.782030,0.750416,0.787022,0.810316,0.725458,0.747331,0.820300,0.753744,0.777038,0.747088,0.152174,0.818636,0.825291,0.777038,0.785358,0.750416,0.765391,0.762063,0.788686,0.675978,0.772047,0.813644,0.811980,0.906822,0.803661,0.745424,0.798669,0.762063,0.755408,0.821963,0.800333,0.908486,0.811980,0.815308,0.760399,0.810316,0.750416,0.856905,0.820300,0.892035,0.885191,0.820300,0.820300,0.818636,0.823627
YP_009256211,0.884555,0.894260,0.895434,0.888519,0.000000,0.909938,0.900312,0.898380,0.879234,0.901786,0.906250,0.897436,0.901325,0.901325,0.905744,0.879875,0.893916,0.904271,0.902798,0.908197,0.879234,0.906389,0.904271,0.904159,0.909823,0.909233,0.883186,0.744387,0.877408,0.882180,0.803819,0.820324,0.732342,0.799705,0.882180,0.896907,0.901716,0.905547,0.901325,0.904000,0.908661,0.757299,0.901235,0.902798,0.908661,0.889894,0.895434,0.887500,0.882812,0.875000,0.901961,0.906486,0.896373,0.907994,0.868925,0.780269,0.905547,0.902549,0.910162,0.908683,0.795960,0.809783,0.900158,0.869369,0.892054,0.903274,0.905744,0.877761,0.908689,0.895434,0.901325,0.761733,0.909774,0.882180,0.779087,0.767925,0.790869,0.767606,0.810015,0.892489,0.755963,0.899096,0.772983,0.921569,0.877966,0.901325,0.913043,0.900915,0.894488,0.890555,0.886057,0.908333,0.905744,0.905744,0.901325,0.880503,0.898659,0.895082,0.899371,0.897227,0.891016,0.902798,0.891803,0.887900,0.913897,0.899522,0.908689,0.913043,0.901338,0.899853,0.911677,0.888365,0.907975,0.897281,0.910400,0.908507,0.901690,0.893855,0.894061,0.905744,0.882629,0.805596,0.903130,0.900322,0.914580,0.902087,0.891547,0.910162,0.898659,0.790869,0.880484,0.908689,0.895330,0.891016,0.899522,0.882258,0.901786,0.750442,0.867868,0.910714,0.910180,0.910714,0.907601
YP_009186840,0.820593,0.819876,0.833851,0.811980,0.909938,0.000000,0.478193,0.824534,0.813665,0.635093,0.836957,0.798077,0.826087,0.829193,0.816770,0.822153,0.811232,0.812112,0.836957,0.413115,0.871118,0.492236,0.829193,0.820976,0.434783,0.236307,0.803540,0.891192,0.788091,0.860248,0.892361,0.900621,0.890335,0.891304,0.868012,0.814433,0.809672,0.810559,0.835404,0.593600,0.629921,0.888686,0.827640,0.827640,0.818898,0.835404,0.812112,0.817187,0.817187,0.812500,0.822981,0.824534,0.884283,0.827640,0.885093,0.900621,0.815217,0.813665,0.818323,0.827640,0.864646,0.887681,0.828843,0.881988,0.807453,0.812112,0.805901,0.810559,0.630435,0.810559,0.804348,0.897112,0.423913,0.815217,0.905280,0.886792,0.902174,0.892606,0.902174,0.830745,0.902752,0.821429,0.876173,0.857143,0.798305,0.833851,0.807453,0.835404,0.814173,0.807453,0.804348,0.801667,0.821429,0.813665,0.841615,0.820755,0.836957,0.809836,0.841195,0.809135,0.847826,0.829193,0.808197,0.813167,0.618012,0.805423,0.830745,0.797101,0.817726,0.835404,0.627329,0.836478,0.844720,0.815217,0.817600,0.805778,0.844720,0.834264,0.802568,0.627329,0.826291,0.902174,0.840062,0.799035,0.838509,0.794543,0.814992,0.628882,0.832298,0.908385,0.822981,0.812112,0.790660,0.836957,0.805423,0.808065,0.638199,0.888496,0.875776,0.628882,0.622671,0.619565,0.618012
YP_009241376,0.795632,0.844237,0.831776,0.825291,0.900312,0.478193,0.000000,0.823988,0.814642,0.627726,0.831776,0.810897,0.827103,0.833333,0.800623,0.797192,0.790952,0.816199,0.834891,0.449180,0.867601,0.476636,0.820872,0.824593,0.449275,0.472613,0.803540,0.877375,0.805604,0.861371,0.885417,0.901869,0.879182,0.897196,0.867601,0.821306,0.803432,0.814642,0.825545,0.588800,0.603150,0.888686,0.827103,0.834891,0.825197,0.833333,0.800623,0.800000,0.803125,0.804688,0.831776,0.834891,0.891192,0.833333,0.900312,0.883178,0.819315,0.820872,0.819315,0.827103,0.870707,0.898551,0.835182,0.889408,0.820872,0.822430,0.823988,0.816199,0.613707,0.811526,0.813084,0.879061,0.442368,0.814642,0.908100,0.884906,0.903427,0.880282,0.906542,0.827103,0.880734,0.834891,0.870544,0.853583,0.784746,0.825545,0.820872,0.830218,0.814173,0.823988,0.816199,0.810000,0.813084,0.814642,0.842679,0.827044,0.845794,0.809836,0.839623,0.812398,0.845794,0.822430,0.811475,0.802491,0.615265,0.816587,0.827103,0.801932,0.826087,0.828660,0.604361,0.831761,0.836449,0.816199,0.809600,0.805778,0.845794,0.836127,0.805778,0.618380,0.826291,0.898754,0.845794,0.805466,0.842679,0.800963,0.811802,0.615265,0.844237,0.904984,0.823988,0.816199,0.803543,0.833333,0.811802,0.796774,0.623053,0.884956,0.906542,0.612150,0.624611,0.616822,0.613707
BAU88511,0.831513,0.818731,0.716437,0.820300,0.898380,0.824534,0.823988,0.000000,0.586118,0.824405,0.806548,0.799679,0.566145,0.563300,0.581749,0.836193,0.828393,0.649077,0.647632,0.808197,0.910916,0.823180,0.507853,0.820976,0.824477,0.823161,0.800000,0.884283,0.824869,0.905183,0.885417,0.909814,0.881041,0.909333,0.907152,0.814433,0.839314,0.638681,0.327889,0.808000,0.820472,0.886861,0.438272,0.568990,0.593701,0.837104,0.659794,0.610938,0.617188,0.610938,0.832579,0.831071,0.896373,0.831071,0.914062,0.893871,0.634183,0.628186,0.671267,0.812874,0.878788,0.885870,0.787639,0.903904,0.646177,0.636905,0.673777,0.651811,0.833333,0.607277,0.564103,0.897112,0.819549,0.636111,0.909677,0.896226,0.905710,0.885563,0.911842,0.329987,0.875229,0.832831,0.906191,0.847662,0.830508,0.841040,0.632684,0.827744,0.845669,0.638681,0.632684,0.801667,0.511920,0.517024,0.808720,0.602201,0.801788,0.803279,0.838050,0.786297,0.837997,0.642409,0.808197,0.797153,0.826284,0.810207,0.819505,0.806763,0.816054,0.785303,0.826347,0.828616,0.822086,0.806647,0.796800,0.804173,0.814132,0.789572,0.797753,0.833564,0.588419,0.895415,0.800298,0.807074,0.824305,0.805778,0.808612,0.830791,0.801788,0.897183,0.603631,0.509044,0.806763,0.690088,0.808612,0.838710,0.830357,0.890265,0.899399,0.818452,0.820359,0.819940,0.821162
AGF85783,0.837754,0.820242,0.681234,0.816972,0.879234,0.813665,0.814642,0.586118,0.000000,0.812500,0.822917,0.812500,0.583215,0.596017,0.377892,0.833073,0.837754,0.625330,0.635097,0.806557,0.908740,0.821694,0.554974,0.824593,0.805153,0.818466,0.794690,0.898100,0.828371,0.892031,0.883681,0.912467,0.873606,0.905333,0.902314,0.798969,0.831513,0.625187,0.586118,0.801600,0.793701,0.894161,0.524691,0.583215,0.549606,0.831071,0.631443,0.590625,0.593750,0.592187,0.826546,0.825038,0.889465,0.822021,0.903646,0.898356,0.623688,0.625187,0.670951,0.815868,0.886869,0.894928,0.782884,0.894895,0.646177,0.638393,0.668380,0.655989,0.815789,0.577121,0.566802,0.889892,0.825564,0.655556,0.898065,0.864151,0.900398,0.887324,0.903947,0.583548,0.873394,0.828313,0.861163,0.847662,0.828814,0.830925,0.634183,0.833841,0.850394,0.626687,0.623688,0.815000,0.568123,0.575835,0.800281,0.542453,0.798808,0.814754,0.847484,0.800979,0.837997,0.652956,0.814754,0.786477,0.794562,0.819777,0.826783,0.818035,0.812709,0.791066,0.806886,0.833333,0.823620,0.811178,0.800000,0.808989,0.821813,0.810056,0.812199,0.818308,0.596244,0.898281,0.804769,0.811897,0.837482,0.802568,0.819777,0.816921,0.803279,0.900000,0.600605,0.543928,0.813205,0.713368,0.822967,0.837097,0.812500,0.881416,0.905405,0.813988,0.814371,0.800595,0.807750
AAM93275,0.829953,0.839879,0.833333,0.818636,0.901786,0.635093,0.627726,0.824405,0.812500,0.000000,0.840774,0.790064,0.828869,0.830357,0.803571,0.826833,0.811232,0.815476,0.830357,0.609836,0.885417,0.647321,0.818452,0.822785,0.621578,0.627543,0.800000,0.908463,0.821366,0.883929,0.888889,0.907738,0.882900,0.900298,0.882440,0.817869,0.828393,0.806597,0.819940,0.548800,0.118110,0.886861,0.822531,0.828869,0.800000,0.858220,0.806548,0.795312,0.801562,0.800000,0.846154,0.844646,0.884283,0.846154,0.891369,0.890882,0.815592,0.814093,0.800595,0.815868,0.872727,0.878623,0.827258,0.897898,0.800600,0.805060,0.802083,0.808036,0.431548,0.799107,0.808036,0.884477,0.631579,0.818452,0.906250,0.883019,0.897321,0.878521,0.888393,0.825893,0.884404,0.846386,0.902439,0.859729,0.815254,0.840774,0.806597,0.847561,0.826772,0.802099,0.806597,0.803333,0.828869,0.816964,0.834821,0.801887,0.840537,0.798361,0.847484,0.805873,0.834821,0.816964,0.798361,0.816726,0.315710,0.800638,0.839286,0.789050,0.822742,0.839286,0.276946,0.845912,0.846626,0.811178,0.793600,0.796148,0.834101,0.823091,0.784912,0.084821,0.815336,0.901786,0.850969,0.787781,0.845238,0.794543,0.805423,0.087798,0.845007,0.906250,0.815431,0.824405,0.790660,0.836310,0.802233,0.841935,0.020833,0.900885,0.894895,0.087798,0.106287,0.084821,0.181818
