species,AVR53768__MG745682.1,AVR53760__MG745678.1,AVR53758__MG745677.1,AVR53746__MG745672.1,AVR53744__MG745671.1,AVR53742__MG745670.1,YP_009272913__KU950356,YP_009215301__KP729195,AII82250__KM017744.1,AGL09957__KC339251.1,AGL09956__KC339250.1,AWV66970__MG693108.1,AWO81976__MG345036.1,AWO81967__MG345028.1,AWF28742__MF198246.1,AWB14639__MF416384.1,AWB14637__MF416383.1,AWB14590__MF175080.1,YP_009315890__KU321655,AAY45700__DQ000496.1,AUW64490__MG136722.1,AUQ23249__KY564173.1,AUO28605__KY511292.1,AUF34951__MG383448.1,AUF34940__MG383445.1,AUD40075__MF464269.1,AUD40071__MF464268.1,YP_009315908__KT878839,YP_009315886__KT878837,ATX68205__MF444157.1,ATX68201__MF362633.1,ATV81502__MF682927.1,ATV81500__MF682926.1,ATV81497__MF682925.1,ATV81491__MF682923.1,ATV81488__MF682922.1,ATJ03467__MF285607.1,ATI09457__MF593479.1,APC23176__KT961665.1,ATD50845__MF085373.1,ASM93495__KY214448.1,YP_009389289__KY640438,AIF74245__KJ641683.1,AIF74237__KJ641680.1,AIF74198__KJ641663.1,ASC49417__KY640455.1,ASC49334__KY640430.1,ASC49322__KY640427.1,AOX47681__KU321654.1,YP_009361877__KX981923,APC23164__KT961659.1,AQX45759__KX343069.1,AQR59123__KX133426.1,AQS80393__KX981980.1,AQS80381__KX981976.1,AQS80297__KX981922.1,AQS80292__KX981921.1,AQN78781__KX685945.1,ALT55210__KU295527.1,ALT55209__KU295526.1,ALT55206__KU295523.1,ALT55196__KU295513.1,BAS32608__AB982223.1,AOL02446__KX583629.1,ANY57893__KX272741.1,AEF33726__JF512473.1,ADN44566__GQ869543.1,ADN44563__GQ869542.1,ALA40028__KT329428.1,YP_009259490__KU172421,YP_009186840__KT716186,YP_009241376__LC085675,BAU69595__LC085666.1,AGF85783__KC580640.1,AAF61213__AF221123.1,AAB95451__AF028705.1,AKI82155__KR261072.1,ADI60252__HM053693.2,YP_009229908__KT592508,AME15917__KT878967.1,AME15905__KT878961.1,AME15895__KT878959.1,YP_009227290__KT454512,ALR74754__KT965075.1,AKG54800__KP281720.1,AIW53333__KM254174.1,BAR72999__LC011425.1,YP_009130650__AB937988,BAR42282__LC011438.1,YP_009154712__KP733794,AID57413__KJ396347.1,AIT18928__KJ495710.1,AIC77176__KJ631100.1,AES86015__JN648103.1,AEI99166__HQ291308.1,ADM26648__HQ113143.1,YP_002916059__FJ973561,ACR15767__FJ973558.1,YP_009010974__KF360033,AHK26987__KF025386.1,AHK26969__KF025380.1,AHA86835__KF373759.1,AGZ93685__KF792837.1,AGS15085__KF206166.1,AGS15077__KF206164.1,AGS15053__KF206158.1,AGS15039__KF206154.1,AFV48069__JX627576.1,AFK85003__JQ814850.1,YP_005097851__JQ037754,ADB55714__GU269892.1,AFH96872__JQ692585.1,AFD01617__JN798211.1,AFD01602__JN798204.1,ABV71710__EU175872.1,AAA66612__M20036.1,AEX38011__JQ037753.1,AEX30511__JN831651.1,AEQ76796__JF504699.1,AEP95278__JN202450.1,AEO37417__JF429834.1,AEM37643__JN420372.1,AEM37606__JN420365.1,AEM37593__JN420361.1,ACT09660__GQ200736.1,ADP36995__HQ223038.1,AAD13755__AF085716.1,ADD17085__GU226971.1,ADF32027__GU938300.1,ADK34009__HM145750.1,AAR26464__AY388617.1,AAR07954__AY349010.1,AAC40229__U44978.1,AAA83224__U22967.1,AAA74973__U26342.1,AAC03775__AF043303.1,ADB20207__GQ387499.1,ADD22705__GU214704.1,ACD37375__EU659111.1,ABY67706__EU200677.1,ABY67682__EU200669.1,AAO32086__AY186198.1,AAN03856__AF513852.1,AAL09673__AF406967.1,AAL09671__AF406966.1,AAL55416__AY064475.1,AAF61212__AF221122.1,ACH81927__EU918736.1,ACL31580__FJ214110.1,ABI16638__DQ813647.1,ABC69727__DQ335247.1,CAA66227__X97629.1,CAA25689__X01457.1,AIZ50117__KP120516.1,AIE58040__KM035804.1,AGW95844__KC876004.1,AAC40694__AF036710.1
AVR53768__MG745682.1,0.000000,0.822917,0.826339,0.797386,0.867089,0.851515,0.616498,0.658466,0.635311,0.594790,0.613603,0.628075,0.841390,0.821604,0.826019,0.794690,0.800699,0.519537,0.654124,0.638498,0.812816,0.808403,0.819777,0.697552,0.735166,0.564399,0.257290,0.801681,0.844615,0.815385,0.813675,0.822630,0.833333,0.612156,0.668135,0.599359,0.834633,0.591837,0.550077,0.280000,0.623734,0.703329,0.802444,0.605657,0.821366,0.704776,0.649783,0.652677,0.649783,0.822153,0.849493,0.612903,0.829233,0.828393,0.826833,0.834633,0.820593,0.834598,0.820593,0.825273,0.825273,0.825273,0.839525,0.810185,0.902141,0.631184,0.847484,0.940252,0.829953,0.712012,0.829193,0.827103,0.762774,0.581766,0.843750,0.820513,0.775510,0.599132,0.573082,0.813187,0.822153,0.820593,0.541245,0.809836,0.626628,0.888559,0.826087,0.809077,0.792771,0.803540,0.839314,0.820800,0.817323,0.600309,0.234646,0.847662,0.648336,0.621875,0.646177,0.638681,0.649783,0.830838,0.642547,0.650675,0.641369,0.649783,0.641100,0.840602,0.659913,0.830400,0.825273,0.628075,0.856928,0.885370,0.870287,0.811864,0.856729,0.646177,0.850610,0.834646,0.628186,0.803333,0.615051,0.625181,0.829233,0.242138,0.808197,0.809135,0.857143,0.664255,0.804918,0.800712,0.832326,0.811802,0.851528,0.819646,0.809365,0.826339,0.826347,0.842767,0.843558,0.809668,0.824000,0.834101,0.800745,0.836066,0.846266,0.642965,0.623734,0.821256,0.709117,0.812903,0.827381,0.797251,0.830018,0.800317,0.812221
AVR53760__MG745678.1,0.822917,0.000000,0.815476,0.815359,0.844937,0.842424,0.803571,0.833333,0.809524,0.802083,0.803571,0.819940,0.823263,0.826514,0.634796,0.792920,0.788462,0.824405,0.827381,0.813772,0.821248,0.825210,0.795853,0.849650,0.863095,0.812500,0.807890,0.835294,0.835385,0.820513,0.811966,0.799694,0.804805,0.799107,0.834821,0.823718,0.836193,0.780612,0.825886,0.813846,0.822917,0.808036,0.635438,0.808652,0.828371,0.797619,0.818452,0.811012,0.825893,0.817473,0.836310,0.826421,0.827381,0.822153,0.836193,0.815913,0.834633,0.625190,0.820593,0.834633,0.817473,0.826833,0.635417,0.796296,0.900612,0.802099,0.849057,0.935535,0.819033,0.833333,0.644410,0.624611,0.514599,0.812500,0.834821,0.788462,0.535714,0.833333,0.805060,0.818681,0.817473,0.826833,0.824405,0.618033,0.821429,0.889881,0.619968,0.636933,0.609639,0.810619,0.829953,0.560000,0.185827,0.824074,0.803150,0.855204,0.791667,0.806250,0.814093,0.812594,0.796131,0.821856,0.819940,0.803598,0.803571,0.808036,0.803571,0.643609,0.818452,0.811200,0.804992,0.818452,0.852410,0.889894,0.859729,0.816949,0.846726,0.799100,0.847561,0.822047,0.802099,0.800000,0.827381,0.809524,0.830357,0.814465,0.793443,0.810767,0.852679,0.811012,0.793443,0.809609,0.336858,0.792663,0.840774,0.790660,0.827759,0.830357,0.297904,0.847484,0.843558,0.808157,0.800000,0.827957,0.826816,0.836066,0.851190,0.816944,0.822917,0.785829,0.837798,0.824194,0.172619,0.810997,0.830018,0.812995,0.222057
AVR53758__MG745677.1,0.826339,0.815476,0.000000,0.790850,0.754747,0.739394,0.811715,0.814505,0.807531,0.814505,0.825662,0.827057,0.747734,0.741408,0.816614,0.580531,0.573427,0.824268,0.817294,0.818466,0.768971,0.847059,0.582137,0.832168,0.866109,0.807531,0.804460,0.833613,0.740000,0.832479,0.851282,0.631498,0.653153,0.813110,0.817915,0.807692,0.842434,0.744898,0.813559,0.818462,0.808926,0.815900,0.784114,0.798669,0.830123,0.810321,0.823110,0.817294,0.813110,0.833073,0.774892,0.807988,0.811239,0.829953,0.831513,0.836193,0.842434,0.816388,0.826833,0.840874,0.826833,0.839314,0.809807,0.625000,0.859327,0.814093,0.740566,0.867925,0.834633,0.804742,0.821429,0.823988,0.770073,0.822873,0.776786,0.605769,0.750000,0.819346,0.810321,0.835165,0.831513,0.826833,0.824268,0.814754,0.813110,0.882615,0.808374,0.823161,0.812048,0.720354,0.836193,0.811200,0.814173,0.810185,0.826772,0.746606,0.815900,0.825000,0.830585,0.821589,0.822873,0.764970,0.814505,0.824588,0.824405,0.815900,0.841004,0.822556,0.829847,0.732800,0.833073,0.824268,0.757530,0.811463,0.776772,0.833898,0.761561,0.826087,0.748476,0.851969,0.817091,0.601667,0.810321,0.807531,0.758087,0.828616,0.603279,0.603589,0.756996,0.822873,0.598361,0.704626,0.809668,0.585327,0.778748,0.600644,0.735786,0.811239,0.812874,0.732704,0.740798,0.635952,0.612800,0.763441,0.761639,0.782414,0.789165,0.819970,0.800558,0.597424,0.801953,0.841935,0.808036,0.716495,0.792043,0.806656,0.803279
AVR53746__MG745672.1,0.797386,0.815359,0.790850,0.000000,0.833333,0.821895,0.789216,0.800654,0.767974,0.776144,0.774510,0.789216,0.815359,0.806874,0.816993,0.796460,0.798951,0.782680,0.787582,0.769608,0.806071,0.828571,0.808824,0.812937,0.838235,0.781046,0.792453,0.833613,0.828431,0.825641,0.834188,0.782680,0.807190,0.800654,0.799020,0.792484,0.831699,0.752551,0.789216,0.790850,0.792484,0.774510,0.814664,0.798669,0.833625,0.771242,0.779412,0.779412,0.797386,0.818627,0.812092,0.777778,0.468954,0.823529,0.826797,0.828431,0.825163,0.830065,0.823529,0.815359,0.826797,0.834967,0.808824,0.794118,0.872549,0.772876,0.821895,0.931373,0.820261,0.781046,0.818627,0.834967,0.791971,0.761438,0.805556,0.802288,0.795918,0.776144,0.784314,0.833333,0.833333,0.830065,0.787582,0.834426,0.774510,0.870915,0.823529,0.818627,0.831325,0.803540,0.833333,0.816993,0.816993,0.774510,0.782680,0.826797,0.771242,0.781046,0.771242,0.774510,0.761438,0.810458,0.767974,0.776144,0.774510,0.782680,0.766340,0.830065,0.772876,0.795752,0.825163,0.774510,0.821895,0.880719,0.856209,0.823729,0.825163,0.779412,0.821895,0.836601,0.774510,0.803333,0.789216,0.782680,0.810458,0.794118,0.796721,0.789216,0.799020,0.772876,0.793443,0.811388,0.826797,0.813725,0.810458,0.797386,0.814381,0.473856,0.820261,0.820261,0.834967,0.802288,0.789216,0.818627,0.800745,0.805556,0.821895,0.781046,0.785948,0.792484,0.781046,0.830065,0.816993,0.802405,0.795660,0.565359,0.815359
AVR53744__MG745671.1,0.867089,0.844937,0.754747,0.833333,0.000000,0.637658,0.840190,0.844937,0.856013,0.856013,0.849684,0.846519,0.787975,0.774141,0.849684,0.750442,0.753497,0.830696,0.837025,0.849684,0.784148,0.860504,0.771930,0.868881,0.893987,0.838608,0.847341,0.865546,0.659810,0.863248,0.864957,0.794304,0.795886,0.841772,0.849684,0.850962,0.862342,0.823980,0.867089,0.856013,0.846519,0.840190,0.816701,0.846922,0.852890,0.838608,0.840190,0.846519,0.840190,0.865506,0.800633,0.854430,0.827532,0.862342,0.860759,0.863924,0.865506,0.848101,0.860759,0.863924,0.867089,0.863924,0.840190,0.775316,0.893987,0.848101,0.666139,0.811709,0.863924,0.852848,0.838608,0.851266,0.817518,0.844937,0.795886,0.778846,0.818878,0.829114,0.846519,0.869963,0.875000,0.867089,0.841772,0.839344,0.849684,0.890823,0.843800,0.846519,0.838554,0.792920,0.865506,0.852800,0.849684,0.867089,0.854430,0.656646,0.838608,0.851266,0.848101,0.854430,0.844937,0.792722,0.849684,0.848101,0.851266,0.844937,0.857595,0.841772,0.852848,0.788800,0.863924,0.848101,0.667722,0.743671,0.716772,0.869492,0.669304,0.846519,0.659810,0.868671,0.849684,0.776667,0.848101,0.843354,0.776899,0.865506,0.791803,0.784666,0.667722,0.846519,0.791803,0.795374,0.848101,0.768740,0.799051,0.777778,0.797659,0.830696,0.854430,0.653481,0.662975,0.770570,0.785600,0.772152,0.811918,0.799051,0.806962,0.848101,0.837025,0.784219,0.829114,0.870968,0.844937,0.776632,0.808318,0.843106,0.846519
AVR53742__MG745670.1,0.851515,0.842424,0.739394,0.821895,0.637658,0.000000,0.840909,0.830303,0.840909,0.828788,0.821212,0.840909,0.783333,0.769231,0.815047,0.716814,0.713287,0.821212,0.819697,0.840376,0.770658,0.855462,0.757576,0.854895,0.878788,0.825758,0.826758,0.858824,0.510769,0.851282,0.851282,0.767584,0.784848,0.833333,0.827273,0.839744,0.861154,0.801020,0.850539,0.841538,0.827273,0.827273,0.806517,0.831947,0.856392,0.827273,0.834848,0.828788,0.825758,0.859594,0.786364,0.843318,0.822727,0.847114,0.850234,0.867395,0.842434,0.830046,0.859594,0.851794,0.853354,0.851794,0.821212,0.756173,0.885321,0.828788,0.545597,0.756289,0.862715,0.818182,0.824534,0.823988,0.791971,0.833333,0.798485,0.751603,0.780612,0.827273,0.827273,0.853480,0.859594,0.851794,0.827273,0.814754,0.819697,0.889394,0.826087,0.829421,0.824096,0.757522,0.862715,0.828800,0.840945,0.837963,0.848819,0.495455,0.834848,0.834375,0.850000,0.839394,0.818182,0.784848,0.833333,0.830303,0.828788,0.827273,0.833333,0.825758,0.842424,0.739200,0.850234,0.836364,0.498485,0.633333,0.572727,0.854237,0.598485,0.827273,0.484756,0.858268,0.834848,0.743333,0.831818,0.833333,0.771212,0.855346,0.754098,0.743883,0.684848,0.834848,0.757377,0.761566,0.842424,0.757576,0.793939,0.752013,0.779264,0.822727,0.848485,0.511006,0.500000,0.769697,0.758400,0.760369,0.783985,0.798485,0.803030,0.848485,0.825758,0.750403,0.819697,0.861290,0.836364,0.719931,0.819168,0.827258,0.834848
YP_009272913__KU950356,0.616498,0.803571,0.811715,0.789216,0.840190,0.840909,0.000000,0.644847,0.566583,0.611735,0.573549,0.621192,0.832326,0.824877,0.808777,0.798230,0.788462,0.590909,0.575305,0.610329,0.817875,0.826891,0.814992,0.690559,0.707152,0.593947,0.571184,0.828571,0.840000,0.832479,0.841026,0.813456,0.804805,0.621690,0.597651,0.530449,0.839314,0.505102,0.510015,0.598462,0.620222,0.704069,0.778004,0.525790,0.826620,0.704069,0.653352,0.685535,0.621455,0.834633,0.818182,0.542243,0.799712,0.834633,0.836193,0.834633,0.837754,0.819423,0.837754,0.836193,0.836193,0.836193,0.824666,0.794753,0.877676,0.644678,0.850629,0.937107,0.829953,0.725031,0.819876,0.808411,0.744526,0.564267,0.818452,0.798077,0.762755,0.560455,0.576679,0.822344,0.831513,0.829953,0.618734,0.808197,0.522251,0.872214,0.808374,0.801252,0.792771,0.798230,0.836193,0.787200,0.809449,0.458333,0.592126,0.829563,0.650773,0.601562,0.650675,0.641679,0.694205,0.824850,0.564617,0.667166,0.653274,0.696139,0.664345,0.818045,0.648611,0.806400,0.833073,0.567164,0.850904,0.873303,0.855204,0.830508,0.829480,0.634183,0.846037,0.839370,0.652174,0.795000,0.533666,0.546028,0.811533,0.594340,0.796721,0.789560,0.836524,0.656716,0.803279,0.798932,0.814199,0.813397,0.820961,0.808374,0.819398,0.793948,0.805389,0.838050,0.831288,0.814199,0.816000,0.817204,0.813780,0.798808,0.837482,0.612708,0.518088,0.808374,0.713933,0.833871,0.808036,0.805842,0.822785,0.790808,0.807750
YP_009215301__KP729195,0.658466,0.833333,0.814505,0.800654,0.844937,0.830303,0.644847,0.000000,0.644847,0.612813,0.630919,0.654596,0.812689,0.821604,0.832288,0.810619,0.790210,0.626741,0.671309,0.643192,0.806071,0.860504,0.797448,0.718531,0.718663,0.640669,0.588336,0.848739,0.829231,0.864957,0.858120,0.833333,0.834835,0.651811,0.672540,0.645833,0.870515,0.563776,0.639445,0.632308,0.618384,0.704735,0.804481,0.577371,0.858144,0.713092,0.680456,0.675487,0.676880,0.862715,0.808081,0.655914,0.812680,0.864275,0.872075,0.870515,0.868955,0.823976,0.872075,0.865835,0.868955,0.858034,0.839525,0.808642,0.892966,0.673163,0.841195,0.937107,0.868955,0.683844,0.836957,0.834891,0.781022,0.635097,0.818452,0.807692,0.778061,0.651494,0.643454,0.842491,0.858034,0.859594,0.637883,0.826230,0.629526,0.866270,0.832528,0.824726,0.824096,0.807080,0.862715,0.820800,0.825197,0.614198,0.622047,0.819005,0.662953,0.662500,0.683658,0.697151,0.675487,0.817365,0.644847,0.691154,0.677083,0.688022,0.701950,0.839098,0.682451,0.814400,0.867395,0.646240,0.826807,0.879336,0.843137,0.869492,0.842486,0.676162,0.826220,0.864567,0.670165,0.801667,0.612813,0.628134,0.808720,0.632075,0.803279,0.799347,0.826215,0.664345,0.806557,0.800712,0.824773,0.803828,0.822416,0.818035,0.831104,0.811239,0.826347,0.827044,0.828221,0.817221,0.820800,0.811060,0.817505,0.812221,0.824305,0.650530,0.654596,0.806763,0.678273,0.875806,0.833333,0.798969,0.804702,0.808241,0.828614
AII82250__KM017744.1,0.635311,0.809524,0.807531,0.767974,0.856013,0.840909,0.566583,0.644847,0.000000,0.590452,0.570850,0.637086,0.818731,0.829787,0.818182,0.792920,0.786713,0.602597,0.588874,0.605634,0.797639,0.830252,0.807018,0.704545,0.701754,0.588903,0.583190,0.828571,0.830769,0.834188,0.839316,0.796636,0.813814,0.607818,0.618209,0.543269,0.836193,0.530612,0.539291,0.596923,0.648241,0.682161,0.802444,0.542429,0.833625,0.692211,0.649073,0.683019,0.620603,0.848674,0.821068,0.563748,0.806916,0.839314,0.834633,0.839314,0.842434,0.842185,0.834633,0.833073,0.836193,0.839314,0.839525,0.811728,0.888379,0.647676,0.831761,0.929245,0.834633,0.711055,0.835404,0.825545,0.773723,0.586118,0.825893,0.804487,0.770408,0.583215,0.584284,0.827839,0.839314,0.850234,0.638522,0.826230,0.523560,0.863299,0.819646,0.832551,0.814458,0.812389,0.836193,0.822400,0.818898,0.456790,0.595276,0.834087,0.644330,0.618750,0.646177,0.643178,0.680905,0.811377,0.327889,0.659670,0.647321,0.689698,0.667131,0.827068,0.630556,0.796800,0.833073,0.244975,0.826807,0.880845,0.847662,0.832203,0.832370,0.640180,0.838415,0.847244,0.641679,0.800000,0.532663,0.511980,0.808720,0.588050,0.806557,0.800979,0.827688,0.645729,0.791803,0.811388,0.824773,0.808612,0.825328,0.803543,0.816054,0.806916,0.824850,0.820755,0.828221,0.814199,0.798400,0.809524,0.819367,0.813711,0.828697,0.611195,0.519380,0.801932,0.711055,0.837097,0.813988,0.821306,0.824593,0.793978,0.813711
AGL09957__KC339251.1,0.594790,0.802083,0.814505,0.776144,0.856013,0.828788,0.611735,0.612813,0.590452,0.000000,0.257760,0.615894,0.829305,0.823241,0.811912,0.805310,0.809441,0.580519,0.582090,0.583725,0.814503,0.831933,0.813397,0.685315,0.697706,0.557377,0.545455,0.826891,0.826154,0.830769,0.837607,0.811927,0.815315,0.640605,0.600587,0.557692,0.836193,0.466837,0.513097,0.569231,0.637953,0.704120,0.792261,0.519135,0.844133,0.696629,0.619116,0.654088,0.630462,0.836193,0.825397,0.582181,0.799712,0.831513,0.834633,0.839314,0.831513,0.827011,0.833073,0.834633,0.833073,0.836193,0.820208,0.802469,0.903670,0.619190,0.841195,0.941824,0.831513,0.695381,0.810559,0.809969,0.751825,0.577121,0.828869,0.807692,0.778061,0.588905,0.553866,0.818681,0.833073,0.825273,0.621372,0.813115,0.526178,0.875186,0.808374,0.790297,0.773494,0.805310,0.842434,0.816000,0.803150,0.487654,0.562205,0.832579,0.614691,0.571875,0.620690,0.623688,0.666667,0.821856,0.603513,0.635682,0.613095,0.662921,0.644847,0.818045,0.661111,0.804800,0.826833,0.599251,0.831325,0.873303,0.852187,0.830508,0.839595,0.619190,0.829268,0.828346,0.616192,0.803333,0.554307,0.538462,0.822785,0.545597,0.800000,0.809135,0.826215,0.632959,0.793443,0.793594,0.820242,0.816587,0.829694,0.818035,0.816054,0.801153,0.811377,0.830189,0.829755,0.808157,0.809600,0.814132,0.811918,0.813711,0.837482,0.593041,0.572351,0.821256,0.705368,0.835484,0.797619,0.809278,0.815552,0.790808,0.794337
